start	end	text
250000	251000	I can't remember why.
251000	253000	But yeah, his arms are out.
253000	254000	Okay.
254000	256000	Crucified.
256000	260000	Okay.
260000	267000	Coffee table has the DBTCA paperwork that had come in the DHL package a few days earlier.
267000	271000	Top of the pile is a letter before I didn't brief over you.
271000	273000	You thumb through the papers.
273000	276000	DBTCA, the acronym DBTCA keeps popping up.
276000	278000	You have no idea what that stands for.
278000	281000	Someone finds the letters in Daisy's bed.
281000	288000	Alla, Alessa, Kushka, you, Mom, Anchu, Michael Miranda.
288000	292000	You open yours, single piece of printer paper.
292000	294000	Read the letter.
294000	297000	Stuff back in the envelope.
297000	300000	Nothing really sunk in.
300000	303000	Alla tells you to call someone for help.
303000	304000	It was you, Faisola's number.
304000	309000	You're under the impression that it's a family lawyer, not one of Bill's Deutsche colleagues.
309000	310000	I know.
310000	311000	I say, we need some help.
311000	313000	I say, we need to call someone.
313000	314000	Do we have a lawyer?
314000	315000	Okay.
315000	316000	So I don't want to say that.
316000	317000	Okay, that's good.
317000	320000	And she says, why would we be talking?
320000	321000	We need a lawyer.
321000	322000	The police are coming.
322000	323000	The police are coming.
323000	324000	Who's our lawyer?
324000	325000	Do we have a family lawyer?
325000	327000	It's like, call McKaley.
327000	328000	Call McKaley.
328000	329000	Okay.
329000	330000	Good.
330000	331000	That's good.
331000	335000	I say, who's McKaley?
335000	338000	And I think it was either her phone or my dad's phone.
338000	339000	Search through.
339000	340000	I give it to my mom.
340000	344000	She searched through it between click-solving and stuff.
344000	345000	She stops crying for a minute.
345000	349000	She finds the phone number, hands it to me, and then I call.
349000	352000	I don't remember if I called from the phone or I call it from my phone.
352000	353000	I don't remember.
353000	354000	I just remember calling.
354000	358000	And then she starts crying again when the phone left her hand.
358000	359000	Okay.
359000	360000	Let me kind of interrupt real fast.
360000	361000	Do we have any more light?
361000	363000	We could have a pyramid in chance.
363000	365000	I feel like this is getting a little...
365000	370000	Maybe if we just...
370000	371000	You know what I mean?
371000	372000	Yeah.
372000	373000	How does it look?
373000	374000	It's dark.
374000	375000	Excuse me.
375000	377000	I think we should...
377000	379000	Do you have those lamps that you could put over?
379000	380000	Yeah.
380000	381000	Here.
381000	382000	Let me just pause this for a sec.
382000	383000	Okay.
383000	385000	Is there a pause in my phone too?
385000	386000	Yep.
386000	387000	We'll do it.
387000	391000	This lets me...
391000	392000	Okay.
392000	393000	Okay.
394000	396000	So you call Faisola.
396000	398000	You say, this is Val, William's son.
398000	399000	We need your help.
399000	400000	My dad is dead.
400000	404000	And he rushes over and is there very quickly.
404000	405000	Yeah.
405000	408000	Police arrive.
408000	414000	Your mom is curled on the floor, stroking Bill's head and brushing hair out of his closed eyes and crying.
414000	416000	And you put your arm around her.
416000	420000	I'm brushing hair out of his closed eyes because his eyes kept opening.
420000	423000	I remember she kept closing them.
423000	424000	Okay.
424000	426000	That's good.
426000	431000	You put your arm around her and her crying kind of quiet.
431000	435000	So it occurred to you at that moment that that was the first time you had really touched her.
435000	438000	Not just in passing, since you were a child.
438000	441000	And you said to yourself, well, this is a little weird.
441000	445000	Got kind of self-conscious and removed your arm and walked away and her crying.
445000	446000	And she felt the same.
446000	448000	You could tell she stopped crying too.
448000	450000	Maybe it was just comforting.
450000	452000	No, I don't think so.
452000	456000	It was just awkward for both of us.
456000	462000	Cops come and inspect the suicide notes and they ask you to verify the handwriting.
462000	466000	And you said, you can't look at them.
466000	468000	The cop told them you have to.
468000	471000	And you looked again and burst into tears.
471000	474000	And then the officer hands you another note.
474000	475000	And you turn away.
475000	476000	I'm not going to do it.
476000	477000	He says, just push on.
477000	479000	You don't have to read every sentence.
479000	482000	And so you peeked at each note and confirmed your father had written them,
482000	487000	but didn't actually really look at the words.
487000	492000	Beth, meanwhile, had been in Wales that weekend for her mom's birthday.
492000	494000	It was on a bus back to London.
494000	501000	And it was like just kind of like angry at you because you hadn't been responding to our text messages.
501000	505000	And she was like, what is wrong with my unreliable boyfriend?
505000	508000	And finally, we've had it.
508000	509000	Yeah, I forgot.
509000	510000	Yeah.
510000	514000	This has been a point of some memory problems.
514000	518000	I'm inclined to trust her recollection over years.
518000	521000	I didn't party the night before.
521000	525000	No, you had originally said that you and Beth were together the night before.
525000	526000	I thought so.
526000	530000	And then you reconciled this once Beth told me this,
531000	536000	that you had been with your bandmates and your friends like partying the night before or at a club or something.
536000	537000	Something like that.
537000	540000	Or maybe just recording at night.
540000	541000	I don't remember anymore.
541000	543000	Yeah, it doesn't matter.
543000	548000	Well, it doesn't matter, but I'm fairly confident that what I've gotten, we've worked on it a lot.
548000	554000	So finally, you replied to one of her texts and say, my dad is dead.
554000	562000	And her immediate assumption is that it's Alexander who's dead and you'd somehow just gotten worse.
562000	565000	It didn't occur to her that Bill was dead.
565000	569000	And she called you and heard that no, it was Bill who's dead.
569000	572000	Alexander, I don't think I could talk about him with her.
572000	574000	Maybe once or twice.
574000	577000	Her point is that it didn't make any sense that your dad was dead.
577000	578000	Right.
578000	580000	What were you talking about?
580000	586000	She'd just been with your dad at that gospel choir in the restaurant.
586000	596000	So she gets back to London and gets an overnight bag, comes over to Evelyn Gardens.
596000	598000	You meet her outside.
598000	599000	And the police are gone.
599000	601000	The coroner's removed the body.
601000	603000	And it's just like sad and miserable.
603000	608000	And Faisola's over there and his wife Maria.
608000	615000	And at that point, Faisola says, you guys go into your dad's office, like apartment, right?
615000	616000	He's just two apartments.
616000	617000	Yeah, across the hall.
617000	621000	And it says, Faisola says to you, is this your dad's computer?
621000	622000	Can I check some things?
622000	624000	You were in no shape to say no.
624000	627000	And you watch over his shoulder as he rummaged around on the computer.
627000	628000	And I'm noting.
628000	636000	But not again out of any sort of disdain or any sort of concern.
636000	638000	I just was like, oh, what's he looking for?
638000	640000	Maybe I can help or maybe...
640000	642000	So what I'm saying here is that...
642000	644000	Maybe there's a sensible one here that's looking for clues.
644000	645000	Let's focus on this.
645000	648000	So what I'm saying here is that this is your recollection.
648000	651000	And that you told me about this shortly after it happened.
651000	656000	But that Faisola just says it's completely not true.
656000	658000	I mean, I have no way around that.
658000	661000	You've been telling me that all along.
661000	669000	And so your mind is churning.
669000	672000	We're trying to figure out what the fuck just happened, basically.
672000	677000	You remember watching at that point a TV prison drama with your dad.
677000	680000	Where an inmate hung himself in a door handle.
680000	683000	And you and your dad had exchanged puzzled glances
683000	686000	and discussed the physics of whether that was actually possible.
686000	687000	And decided that yes it was.
687000	689000	It probably wasn't even that hard.
689000	694000	And so that night, you and Beth go to sleep in the office.
694000	697000	Or in the other apartment here.
697000	698000	In the other apartment.
698000	703000	And you spend a couple of minutes going through your dad's computer at that point.
703000	705000	And the email accounts are logged in.
705000	709000	And you figured maybe you'd find whatever the secret was that caused him to do this.
709000	710000	Another family.
710000	711000	It's deep in debt.
711000	713000	Like, who knows.
713000	717000	And you didn't find any of that.
717000	721000	But what becomes immediately clear is that your dad, just as of a few days earlier,
721000	722000	had been planning for the future.
722000	723000	There's a Utah ski trip.
723000	724000	There's the Willis.
724000	725000	Did I fall asleep?
725000	726000	Is this after I woke up?
726000	727000	This is that night.
727000	728000	Before he falls asleep.
728000	729000	No, before he falls asleep.
729000	730000	This is the way you've told me.
730000	731000	I mean, but if that's not your memory.
731000	732000	No, I was just asking.
732000	734000	I spaced out for a minute.
734000	735000	I was thinking about something else.
735000	737000	And then I said, before I fell asleep, yes.
737000	738000	I started going through the computer.
738000	739000	Yeah.
739000	742000	And you noticed, so first of all, that he'd been planning for the future.
742000	746000	And second of all, there were just enormous quantities of Deutsche Bank emails in his
746000	747000	person, in his Yahoo!
747000	748000	Gmail accounts.
748000	754000	And even as you're going through the computer at that moment, one final Deutsche Bank email
754000	756000	arrives at 8.42 p.m.
756000	762000	That's about the schedule for an upcoming DBTCA board meeting.
762000	764000	And none of this made any sense.
764000	768000	And you're just wiped out and you swallowed a handful of morphine xanax and tried to
768000	769000	fall asleep.
769000	770000	Yeah.
770000	771000	I was crying.
771000	772000	Yeah.
772000	776000	I actually had written that and then it just felt like such a cliche.
776000	781000	But yeah, I hear you.
781000	783000	You can write it better.
783000	785000	I don't know how to write it better.
785000	788000	It just, like, it almost seems like better left.
788000	789000	I don't know.
789000	790000	Yeah.
790000	791000	I don't know.
791000	792000	Okay.
792000	793000	What's up, team?
793000	795000	January 27th.
795000	799000	You're dead.
799000	803000	Death is announced to the bank by Anshu and Irrigan Fitchin.
803000	807000	The bank sends over a beefy security guy to sanitize the flat.
807000	808000	What security guy?
808000	809000	Oh yeah.
809000	810000	Beefy.
810000	811000	Yeah.
811000	812000	He was a big dude.
812000	815000	And to deal with the media, there's also a PR person.
815000	819000	And the PR person advised you guys to just not say anything.
819000	826000	And there the PR, the bank's goal at that point was to avoid any published speculation
826000	828000	about why your dad had killed himself.
828000	832000	That was the bank's goal, not your family's goal.
832000	840000	And this is something, and you know, I recount some of the dissembling or lying that the
840000	844000	bank did about what was known about your dad's death in the days afterwards.
844000	847000	Is there a split of it?
847000	853000	And it's including to me directly at the time.
853000	855000	Family, friends cycling through.
855000	861000	Alla having FaceTime conversations with the girls, sitting on the floor rocking back and
861000	862000	forth.
862000	864000	You're in a corner, not knowing what you're supposed to do.
864000	865000	You emailed Jenny.
865000	867000	Everything's upside down on sideways right now.
867000	871000	You wanted to flee the apartment, smoke cigarettes, clear your head.
871000	875000	But Alla wouldn't let you leave.
875000	881000	You were so desperate that you kind of cooked up an excuse to go get a haircut and clean
881000	882000	up.
882000	887000	And that backfired, and Alla summoned Alla's hairdresser to the apartment and used to have
887000	889000	your dad's desk and got pampered.
889000	896000	Pampered and got my haircut.
896000	897000	Hairdresser leaves.
897000	904000	Bank security man lets in a skinny tech guy from Deutsche Bank whose assignment, as far
904000	907000	as you and Beth could figure out, was to copy the contents of Bill's computers.
907000	910000	It was very polite in his 20s.
910000	912000	Came with portable hard drives.
912000	915000	Someone at the house phoned the bank to make sure he was really supposed to be there.
915000	917000	The bank confirmed he was legit.
917000	920000	You brought him in to the office.
920000	924000	The guy logged onto the computers and you watched him copy the files of the portable hard drives.
924000	925000	I logged him on.
925000	928000	Yeah, sorry, that's what I meant.
928000	932000	The tech guy also took the papers that had been on the coffee table.
932000	937000	So this is the second person now that is like showing an urgent interest.
937000	938000	Wait, wait.
938000	940000	The papers are on the coffee table.
940000	942000	The DBTCI papers.
942000	945000	Did he take the papers?
945000	947000	You're my source of that.
947000	953000	I don't remember anymore because it would be severe to take the DBTCI papers.
953000	955000	It's almost like evidence.
955000	960000	Well, the police are gone at that point and that pretty clearly is the bank's property, right?
960000	962000	No, it's his property.
962000	963000	The papers are just him.
963000	965000	I don't think they took the DBTCI papers.
965000	969000	I think he just took the drives because I don't remember anyone taking those papers.
969000	970000	Okay.
970000	972000	I don't remember anyone taking them.
972000	973000	Okay.
973000	976000	Yeah.
976000	982000	In any case, this is now the second person is showing some like urgent interest in what's on your dad's computer.
982000	986000	You at that point figured it prudent to preserve all of the digital access to all the shit.
986000	988000	So you copied all down to the scrap paper.
988000	989000	Yeah.
989000	993000	I think if I said that I was wrong or maybe it was miscommunicated or something.
993000	994000	Okay.
994000	995000	That's fine.
995000	996000	It's not a big deal.
996000	997000	Okay.
997000	998000	I'll cut that.
998000	999000	Okay.
999000	1009000	So eventually like the media clears out and you are allowed to leave and you start telling your friends what happened
1009000	1013000	and your friends weren't even sure what to believe.
1013000	1018000	Like they thought maybe you were just really, really high or that you were exaggerating.
1018000	1024000	They couldn't believe the story you were telling.
1024000	1028000	And finally you make it back to your own apartment near a loan and lonely.
1028000	1031000	You can't get these horrible images out of your mind.
1031000	1038000	And eventually you turned on, you remember what music you turned on?
1038000	1043000	I had Johnny Cash and I had the Sinead O'Connor.
1043000	1045000	Yeah, that's the Sinead O'Connor.
1045000	1052000	Same song that your dad had been listening to when he was in bed.
1052000	1055000	Last day of our acquaintance.
1055000	1056000	Yeah.
1056000	1063000	The lyrics of this are in the book.
1063000	1067000	I've listened to that song quite a few times myself at this point.
1067000	1075000	It's certainly a meaningful song.
1075000	1076000	Okay.
1076000	1082000	Off to New York people go, Allah needs the wheelchair to get out of JFK.
1082000	1088000	She's had so many sedatives and that's like a rare moment of levity later in that week.
1088000	1094000	You and Alessa and Kushka joke that it's like not the first time you're on a wheelchair to get around an airport.
1094000	1096000	Well, yeah, something like that.
1096000	1101000	It was that she was a princess, sorry, jokes.
1101000	1104000	But not that she was so sedated all the time that she needed a wheelchair.
1104000	1105000	No, no, it wasn't that.
1105000	1106000	It was just a melodrama.
1106000	1108000	Yeah, melodrama.
1108000	1113000	You flew on February 4th, you arranged to fly in the same plane as your dad's coffin.
1113000	1116000	Someone needed to escort him on his final flight.
1116000	1120000	At Heathrow, a board of guard, looks at your passport and realizes you've been your visa's
1120000	1123000	long since expired and now you can come back.
1123000	1128000	It was actually more, because I got through passport control and then I thought I was clear
1128000	1135000	and then there was one more last sort of more casual passport control where there were two guys.
1135000	1139000	One guy had a podium on the right and he was a Sikh because he had the headdress
1139000	1145000	and then a white British guy on the left and you have to go through and they were just sort of eyeing you.
1145000	1149000	And then the Sikh had been looking for me the whole time because as soon as he spotted me,
1149000	1151000	he was very brash, you, here.
1151000	1153000	He knew exactly who I was.
1153000	1156000	So I guess the passport control informed these guys to stop me.
1156000	1158000	It was somewhere in between.
1158000	1163000	And then they pulled me aside and searched through my things and I gave them the doctor's note
1163000	1167000	with all the drugs because they were surprised with all the drugs I had.
1167000	1170000	And then they made me sign the paper.
1170000	1173000	They gave me a choice of one year or ten years.
1173000	1175000	You have all that, right?
1175000	1178000	And you have the paper.
1178000	1187000	The plane lands at JFK a little before 10 o'clock and a hurst drives on to the tarmac to collect the bottom.
1187000	1190000	Memorial service.
1190000	1195000	Everyone who comes in gets a little laminated card with a picture of Bill smiling on one side
1195000	1204000	and then Ruffle, Bill Emerson's poem about the meaning of successful life on the other side.
1204000	1209000	Bob tells a bunch of family stories.
1209000	1217000	Alessa reads a farewell letter that includes Peter and the wolf and how she would use to pick up his ties.
1217000	1225000	You read a free lunchroom scripture, which I've got here.
1225000	1231000	Michael Morandi and his eulogy notes how many hundreds of people are there.
1231000	1236000	He says that if he's looking down at this assembly, he'd wonder what all the fuss is about.
1236000	1242000	And then it's Alissa's turn and she reads, stop all the clocks.
1242000	1248000	She's just going to heartbreaking and she has trouble making it through because she's crying so much.
1248000	1256000	And then afterwards there's a memorial at the Park Avenue House in the kitchen of Bill.
1256000	1259000	I forgot to give you, I have to give you my speech.
1259000	1262000	You never did give that to me.
1262000	1270000	And there are a lot of guests in the apartment and one of them is Estelle, who is still her brother after all these years.
1270000	1276000	She approaches your mom and they hug and they both lost their men.
1276000	1281000	And all the whispers in her ear, they are together now.
1281000	1287000	Really? Does that make still sense?
1287000	1289000	Okay. You okay?
1289000	1292000	Yeah.
1292000	1299000	Okay.
1299000	1307000	So Bob Roach has a set of committee that's investigating the Renaissance text.
1307000	1309000	Does he jump to Bob Roach?
1309000	1311000	Not exactly.
1311000	1316000	Don't get excited.
1317000	1329000	And so they do this investigation and as part of that they find this phone call where,
1329000	1337000	well they find that Anshu has kind of assigned Bill back in 2008 the task of trying to make, to understand what these trades were about
1337000	1339000	and make sure everything was kosher.
1339000	1340000	Cool.
1340000	1347000	And he had basically said there's nothing fundamentally wrong with the way they were being handled
1347000	1351000	but he had this phone call with a colleague where he was very candid about the transaction's purpose.
1351000	1354000	And he says they were designed for tax reasons.
1354000	1359000	And the phone calls were recorded.
1359000	1360000	The phone calls were recorded?
1360000	1361000	Yeah.
1361000	1362000	Okay.
1362000	1365000	And the center investigators years later find that record them.
1365000	1371000	And it's very problematic for the bank because the bank's point was that they're not for tax purposes.
1371000	1378000	These were the legitimate business purposes and your dad has just been very candid and honest and open
1378000	1381000	and that is not in the bank's interest being candid and honest and open.
1381000	1390000	And so a bunch of people were being brought over to testify under oath to the Senate
1390000	1395000	and were making this argument that they didn't have anything to do with tax purposes
1395000	1399000	and here your dad was on tape openly declaring that that's exactly what they were.
1399000	1408000	And so it turns out that one afternoon in the late in the previous summer, so probably August or September of 2013,
1409000	1421000	some attorneys came from Paul Weiss to the big law firm to London to interview your dad about his role in the rest on the streets.
1421000	1422000	Right.
1422000	1432000	And it was kind of a routine interview and their goal was to figure out what your dad knew about the trades
1432000	1436000	that you guys take on all the documents and recordings that the investigators had obtained.
1436000	1445000	It's held around the corner from Deutsche's offices and they sat at like a very highly polished wooden table
1445000	1453000	and the lawyers told him that there's a chance he was going to have to go to Washington and be interviewed under oath on Capitol Hill.
1453000	1462000	And Bill, he was very polite and forthcoming and he struck the lawyers as terrified.
1462000	1464000	He had a hang dog look.
1464000	1469000	He seemed beaten down, world weary.
1469000	1472000	The meeting ends, the attorneys go back to...
1472000	1473000	Is this according to Bob Roach?
1473000	1474000	What was that?
1474000	1475000	This is according to Bob Roach.
1475000	1476000	No, this isn't Bob Roach.
1476000	1477000	This is...
1477000	1478000	Bob Roach isn't here.
1478000	1479000	Is this Paul Weiss?
1479000	1480000	The attorneys?
1480000	1481000	I'm not saying this is according to him.
1481000	1482000	This is the way it was perceived.
1482000	1483000	Okay.
1483000	1489000	The lawyers go back to Heathrow to catch their flight back to New York and they're waiting in the airport lounge.
1489000	1492000	And one of them is a phone call and it's Bill.
1492000	1496000	And he's got a million other questions about what he needs to do next.
1496000	1504000	The way this is described to me is that Bill seemed to be bracing for a world of shit to land on him at any moment.
1504000	1510000	He sounded terrified, he sounded slightly unhinged and the lawyers were very worried.
1511000	1512000	Unhinged?
1516000	1517000	Okay.
1525000	1526000	So...
1528000	1529000	Okay.
1529000	1531000	Unhinged, so it's...
1531000	1533000	Okay, I'm just curious.
1533000	1536000	So the lawyers describe him as unhinged on the phone?
1536000	1538000	Just out of worry?
1538000	1545000	They thought he seemed very scared, out of complete...
1545000	1547000	Completely disproportionate.
1547000	1548000	Right.
1548000	1550000	To what any of the real risks were.
1550000	1551000	Great.
1551000	1552000	Okay.
1553000	1554000	So...
1556000	1557000	You...
1558000	1564000	A few days after the memorial service, you decided that you needed help.
1565000	1569000	Taking too many drugs.
1569000	1573000	It's hard to get drugs in America, at least hard compared to London.
1573000	1576000	Well, the prescription. Hard to get the prescription.
1576000	1578000	Yeah, that's exactly what I've got.
1578000	1580000	Beth is gone.
1580000	1583000	So you sit down with your mom and your sisters and Uncle Bob.
1583000	1588000	And you discuss what you're gonna do.
1588000	1590000	You want to go to rehab.
1590000	1592000	You want the family to pay for it.
1592000	1597000	And Ola's less than enthusiastic about that.
1597000	1603000	And in part because she perceived you as having...
1603000	1612000	Her perception was that you were being ungrateful and entitled to not interested in suffering in some third-grade rehab facility.
1612000	1613000	This is her perception.
1613000	1614000	What?
1614000	1616000	No, they didn't want me to go at all.
1616000	1617000	No, I know.
1617000	1626000	I was about to say, she said that you should just hunker down for a few days at the university club and snap it on your own.
1626000	1630000	You knew from your experience that that was an unsupervised approach like that would not work.
1630000	1636000	You wrote your mom a letter on the university club's letter and say, I'm a grown man, blah, blah, blah, blah, blah.
1636000	1639000	And eventually they agreed to send you to rehab in detox in Florida.
1639000	1642000	And so you go to sunrise detox.
1643000	1649000	You didn't take them up on the offer of comfort drugs and so you just went cold turkey.
1649000	1651000	And it was awful.
1651000	1653000	And you spend a lot of time in the shower crying.
1653000	1661000	When you weren't doing that, you were picking fights with the religious fundamentalists who were your fellow patients.
1661000	1664000	You didn't make friends.
1664000	1670000	So after 10 days there, you transferred to the Lucida Rehab Center.
1670000	1677000	Which turned out, despite its advertisements to the contrary, was basically like a construction site too large.
1677000	1678000	Yeah.
1678000	1681000	You were pissed off about the subpart conditions.
1681000	1684000	You convinced some of your fellow guests to leave.
1684000	1686000	Yeah, I was a total asshole.
1686000	1687000	What was that?
1687000	1689000	I was a total asshole.
1689000	1693000	One day you're about a weekend.
1693000	1695000	You're summoned to the boardroom.
1695000	1698000	You show up in a bathing suit to protest the lack of swimming pool.
1698000	1699000	Tonight.
1700000	1703000	The staff tells them you're kicked out.
1703000	1705000	You threw a bit of a tantrum.
1705000	1710000	The tantrum, not surprisingly, did not dissuade them of kicking you out.
1710000	1716000	Alessa took pity on her big brother.
1716000	1719000	You were in a bad situation and needed help.
1719000	1723000	So she found another rehab facility, Altamira.
1723000	1725000	And Altamira's nice.
1725000	1727000	And they're good chefs.
1727000	1731000	And you got a welcome basket with high-end toiletries.
1731000	1734000	And I've been here, I've been meaning to tennis with you.
1734000	1735000	That it was 50 grand a month?
1735000	1736000	Yeah.
1736000	1737000	That's amazing.
1737000	1738000	That's really expensive.
1738000	1740000	Yeah, I know.
1740000	1745000	Back in New York, family hired a consultant to advise them on how to deal with you.
1745000	1747000	I didn't want to be there at that point.
1747000	1749000	I remember I wanted to go home.
1749000	1751000	That's all I wanted to do was just go back.
1751000	1754000	I realized this whole thing was a terrible, terrible idea.
1754000	1755000	Why?
1755000	1756000	It was just a bad idea.
1756000	1757000	Why?
1757000	1760000	It was a bad time to go to rehab.
1760000	1762000	I need to be with my family.
1762000	1763000	I didn't want to do this.
1763000	1768000	Drugs were much more comforting than anything else at the time.
1768000	1771000	And I think I probably needed that to get through this.
1771000	1773000	And I should have been with my sisters and my mom.
1773000	1775000	I realized this terrible idea.
1775000	1777000	I kept saying, I don't want to go to rehab.
1777000	1778000	Let's go back to New York.
1778000	1779000	It's over.
1779000	1780000	It's done.
1780000	1781000	And then they said, no, no, no.
1781000	1782000	Stay here.
1782000	1783000	Stay here.
1783000	1785000	I want to go back to New York.
1785000	1787000	I was in a place that I lived.
1787000	1788000	Yeah.
1788000	1789000	Yeah.
1789000	1790000	And I used that 50,000 years ago.
1790000	1791000	50,000 a month.
1791000	1793000	That's 600,000 dollars a year.
1793000	1795000	It's like 50,000 a month.
1795000	1796000	Yeah.
1796000	1797000	It was ridiculous.
1797000	1799000	I said, this is ridiculous.
1799000	1804000	I just need to go back to New York, find a place to live and be with the family, and move on.
1804000	1806000	And spend the year in New York.
1806000	1808000	Because I had to do a year in New York.
1808000	1810000	Do a year in New York.
1810000	1812000	I'm banned from England for one year.
1812000	1815440	Stay away from the England and we had started looking at apartments
1815440	1817160	I don't know if you put that in there as well
1817160	1823240	My mom found a real estate person and had me go with her to look at apartments for rent around 93rd Street
1824480	1829640	We had been looking for places and then said well go to rehab first and come back. We'll find a place
1830240	1834960	And after I did the detox in the another ten days at Lucida
1835680	1841000	Or two weeks of Lucida the fill that was enough. I didn't want to go to Altamira. It was not my
1841720	1847680	Intention I was not throwing a fit like spend money on me to go to a fancy rehab. No, it was I want to go home
1847920	1849920	Spend no money on rehab. Let's just
1850880	1852560	Start again in New York
1852560	1856120	So I mean you could have surely if you didn't want to go there in the first place
1856120	1858120	You could have just not gotten on that plane to San Francisco
1858720	1862920	Yeah, I know I could not because they had a something called sober companion
1863200	1870400	That my sister and my mom and my uncle hired to fly out to Florida and accompany me to San Francisco
1870400	1873160	I didn't know that yeah, yeah sober companion
1873160	1878040	So there's a person that makes sure I didn't run away and didn't get drunk or get high or do anything like that
1878240	1882160	There's a whole another one of those sub businesses or
1884080	1888960	Associated with the rehab industry sober companions. So, yeah, they escorted me
1890240	1892240	Yeah, I thought I told you that
1893640	1895640	It's impossible you did
1896200	1900720	Yeah, no, that's them you can go verify that so it wasn't I didn't get on the plane
1901040	1906400	It was they wanted me to so badly. They hired this person to make sure I got from point A to point B
1907160	1909160	They did not want me coming back to New York
1911400	1916680	Okay, so I'm quoting from one of these letters that's important. No, I hear you
1916680	1923680	Yeah, I hear you and look at make a note of that. Well, I've got we've got notes recording in multiple different directions here, so
1924680	1926680	Um, sorry, Marie
