[03:36:54.460 --> 03:36:56.460]  Fed: Well, anything else
[03:38:46.460 --> 03:38:48.460]  Fed: Tyler Rossi about MPS.
[03:38:48.460 --> 03:38:50.460]  Fed: You did a man-in-the-middle for
[03:38:50.460 --> 03:38:52.460]  Fed: mom's computer.
[03:38:52.460 --> 03:38:54.460]  Fed: You hacked Deutche bank, but not really.
[03:38:54.460 --> 03:38:56.460]  Val: Right.
[03:38:56.460 --> 03:38:58.460]  Val: I still can, though.
[03:38:58.460 --> 03:39:00.460]  Val: I dony't know
[03:39:00.460 --> 03:39:02.460]  Val: should I or I don't know.
[03:39:02.460 --> 03:39:04.460]  Fed: If you ask me, you should not do any illegal activity.
[03:39:04.460 --> 03:39:06.460]  Fed: That's probably the best
[03:39:06.460 --> 03:39:08.460]  Fed: course of action.
[03:39:08.460 --> 03:39:10.460]  Val: No, I'm not going to know that for sure.
[03:39:10.460 --> 03:39:12.460]  Val: I'm not going to talk about that.
[03:39:12.460 --> 03:39:14.460]  Val: But hacking a bank
[03:39:14.460 --> 03:39:16.460]  Val: is just hacking the bankers.
[03:39:16.460 --> 03:39:18.460]  Fed: That's true. That's illegal.
[03:39:18.460 --> 03:39:20.460]  Fed: I wouldn't suggest it.
[03:39:20.460 --> 03:39:22.460]  Val: No, but I mean, in a case,
[03:39:22.460 --> 03:39:24.460]  Val: it would be something that you would want.
[03:39:24.460 --> 03:39:26.460]  Val: But can you really hack people like that?
[03:39:26.460 --> 03:39:28.460]  Fed: It's not something
[03:39:28.460 --> 03:39:30.460]  Fed: that we would normally do.
[03:39:30.460 --> 03:39:32.460]  Fed: So, like,
[03:39:32.460 --> 03:39:34.460]  Fed: it's good to know you have the skills, because we could
[03:39:34.460 --> 03:39:36.460]  Fed: put you in a situation where you can talk to other people,
[03:39:36.460 --> 03:39:38.460]  Fed: or we can introduce you to a group,
[03:39:38.460 --> 03:39:40.460]  Fed: or do something else, y'know, more complicated.
[03:39:40.460 --> 03:39:42.460]  Fed: But knowing your skills is a good thing to do.
[03:39:42.460 --> 03:39:44.460]  Fed: But it would be rare where I'd be like,
[03:39:44.460 --> 03:39:46.460]  Fed: hey, go hacking a Deutsche Bank,
[03:39:46.460 --> 03:39:48.460]  Fed: steal their stuff for me,
[03:39:48.460 --> 03:39:50.460]  Fed: because in court, that would be a hell of a thing
[03:39:50.460 --> 03:39:52.460]  Fed: to show that the
[03:39:52.460 --> 03:39:54.460]  Fed: government essentially hacked into a bank to deal with that.
[03:39:54.460 --> 03:39:56.460]  Val: Well, I know, but there's also
[03:39:56.460 --> 03:39:58.460]  Val: you guys, I'm sure you have people like this
[03:39:58.460 --> 03:40:00.460]  Val: in your agency, where other
[03:40:00.460 --> 03:40:02.460]  Val: agencies have the same types, where you find
[03:40:02.460 --> 03:40:04.460]  Val: an outside person like myself,
[03:40:04.460 --> 03:40:06.460]  Val: that you hire basically
[03:40:06.460 --> 03:40:08.460]  Val: to break the rules, but you don't say to break the rules.
[03:40:08.460 --> 03:40:10.460]  Val: You need someone that, you don't do that?
[03:40:10.460 --> 03:40:12.460]  Val: No? Okay.
[03:40:12.460 --> 03:40:14.460]  Fed: Definitely not.
[03:40:14.460 --> 03:40:16.460]  Fed: I would tell you this, the rule is
[03:40:16.460 --> 03:40:18.460]  Fed: if you were officially working with us,
[03:40:18.460 --> 03:40:20.460]  Fed: you are an extension of the government
[03:40:20.460 --> 03:40:22.460]  Fed: in the sense that if
[03:40:22.460 --> 03:40:24.460]  Fed: you can't do anything I can't do.
[03:40:24.460 --> 03:40:26.460]  Val: Like a self-contractor.
[03:40:26.460 --> 03:40:28.460]  Fed: Yeah, I guess you can kind of think about it like that.
[03:40:28.460 --> 03:40:30.460]  Fed: You're not employed by the government.
[03:40:30.460 --> 03:40:32.460]  Fed: But like, if I told you to
[03:40:32.460 --> 03:40:34.460]  Fed: hack into something, it'd be like me hacking into it.
[03:40:34.460 --> 03:40:36.460]  Fed: I can't do it, you can't do it.
[03:40:36.460 --> 03:40:38.460]  Val: Okay, so I'd represent,
[03:40:38.460 --> 03:40:40.460]  Val: who would you represent in the government?
[03:40:40.460 --> 03:40:41.460]  Val: Like, or...
[03:40:41.460 --> 03:40:42.460]  Fed: Indirectly, yeah.
[03:40:42.460 --> 03:40:44.460]  Fed: Like, you would give a...
[03:40:44.460 --> 03:40:46.460]  Fed: You would be getting the direction from the government, too, which I mean.
[03:40:46.460 --> 03:40:48.460]  Fed: It's like, there's an order
[03:40:48.460 --> 03:40:49.460]  Fed: or something.
[03:40:49.460 --> 03:40:51.460]  Fed: The action is from the government.
[03:40:51.460 --> 03:40:52.460]  Val: Right, right.
[03:40:52.460 --> 03:40:54.460]  Val: But technically, it's not, you're not,
[03:40:54.460 --> 03:40:55.460]  Val: it's not the government.
[03:40:55.460 --> 03:40:57.460]  Val: And who pays you is not the government either.
[03:40:57.460 --> 03:40:59.460]  Val: If you're an independent, who,
[03:40:59.460 --> 03:41:00.460]  Val: how do you pay it?
[03:41:00.460 --> 03:41:02.460]  Fed: You mean, if you were to
[03:41:02.460 --> 03:41:03.460]  Fed: be helping or something?
[03:41:03.460 --> 03:41:04.460]  Val: Sure.
[03:41:04.460 --> 03:41:06.460]  Fed: Yeah, that's the government.
[03:41:06.460 --> 03:41:08.460]  Val: Which actually comes from the government?
[03:41:08.460 --> 03:41:10.460]  Fed: No, [unintelligible]
[03:41:10.460 --> 03:41:11.460]  Val: Oh, okay.
[03:41:11.460 --> 03:41:12.460]  Fed: Yeah.
[03:41:12.460 --> 03:41:15.460]  Fed: But, we don't hire people to break the law.
[03:41:15.460 --> 03:41:17.460]  Fed: Like, to search [unintelligible]
[03:41:17.460 --> 03:41:18.460]  Val: Are there any...
[03:41:18.460 --> 03:41:19.460]  Fed: I'm sure they do.
[03:41:19.460 --> 03:41:21.460]  Fed: But that's Oklahoma's stuff.
[03:41:21.460 --> 03:41:23.460]  Fed: So, like, oversees the rules are different, right?
[03:41:23.460 --> 03:41:25.460]  Fed: Like, oversees your
[03:41:25.460 --> 03:41:27.460]  Fed: committing espionage, which is by the fact,
[03:41:27.460 --> 03:41:29.460]  Fed: you know, the fact that we're against the law, right?
[03:41:29.460 --> 03:41:30.460]  Val: Right.
[03:41:30.460 --> 03:41:31.460]  Fed: And the United States, you know,
[03:41:31.460 --> 03:41:33.460]  Fed: we're still bound by the Constitution.
[03:41:33.460 --> 03:41:35.460]  Fed: So, like, one distinction I want to make, too,
[03:41:35.460 --> 03:41:37.460]  Fed: is like, with the FBI, like,
[03:41:37.460 --> 03:41:39.460]  Fed: we will follow the rules every time.
[03:41:39.460 --> 03:41:41.460]  Fed: I'm never going to tell you to break the rule,
[03:41:41.460 --> 03:41:43.460]  Fed: and like, don't tell me about it or something.
[03:41:43.460 --> 03:41:44.460]  Val: We'll never deal with that situation.
[03:41:44.460 --> 03:41:45.460]  Val: Make a win-win.
[03:41:45.460 --> 03:41:46.460]  Fed: Never.
Val: That's good to know
[03:41:46.460 --> 03:41:48.460]  Fed: If I tell you something, like,
[03:41:48.460 --> 03:41:50.460]  Fed: even if I ask you to talk about something
[03:41:50.460 --> 03:41:52.460]  Fed: that could be construed as illegal,
[03:41:52.460 --> 03:41:54.460]  Fed: I'll have a whole document of, like,
[03:41:54.460 --> 03:41:56.460]  Fed: this is exactly what you're allowed to say,
[03:41:56.460 --> 03:41:57.460]  Fed: this is what you're not allowed to say,
[03:41:57.460 --> 03:41:59.460]  Fed: these are the communities[???],
[03:41:59.460 --> 03:42:01.460]  Fed: and you can't deviate from these four corners.
[03:42:01.460 --> 03:42:03.460]  Fed: Otherwise, we distance ourselves from you,
[03:42:03.460 --> 03:42:05.460]  Fed: because it's not what we ask.
[03:42:05.460 --> 03:42:06.460]  Val: Okay.
[03:42:06.460 --> 03:42:09.460]  Fed: So, because there's a lot of stuff about what the FBI is,
[03:42:09.460 --> 03:42:10.460]  Fed: or isn't
[03:42:10.460 --> 03:42:12.460]  Fed: Like, just from talking to you today, right?
[03:42:12.460 --> 03:42:14.460]  Fed: There's a lot of stuff that
[03:42:14.460 --> 03:42:15.460]  Fed: you've perceived to be as true
[03:42:15.460 --> 03:42:16.460]  Val: Oh, yeah.
[03:42:16.460 --> 03:42:17.460]  Val: I totally learned a lot today.
[03:42:17.460 --> 03:42:18.460]  Val: Yeah.
[03:42:18.460 --> 03:42:20.460]  Fed: So, that being said, it's like,
[03:42:20.460 --> 03:42:21.460]  Fed: if you work with us,
[03:42:21.460 --> 03:42:23.460]  Fed: it has to be very clear
[03:42:23.460 --> 03:42:25.460]  Fed: that you're not breaking any rules.
[03:42:25.460 --> 03:42:26.460]  Fed: Right?
[03:42:26.460 --> 03:42:28.460]  Fed: Because we also don't want to work with people
[03:42:28.460 --> 03:42:30.460]  Fed: who are not going to be able to follow directions.
[03:42:30.460 --> 03:42:32.460]  Fed: We talked about it, it makes sense to me,
[03:42:32.460 --> 03:42:34.460]  Fed: but, like, if you're going to give us information, too,
[03:42:34.460 --> 03:42:36.460]  Fed: we have to know that that is the whole fiction.
[03:42:36.460 --> 03:42:38.460]  Fed: You can't, like, take part of it.
[03:42:38.460 --> 03:42:40.460]  Fed: You can't omit the stuff
[03:42:40.460 --> 03:42:42.460]  Fed: that you don't want to tell us,
[03:42:42.460 --> 03:42:43.460]  Fed: what you tell us has to be everything.
[03:42:43.460 --> 03:42:45.460]  Fed: Because if we find out that it isn't everything,
[03:42:45.460 --> 03:42:46.460]  Fed: then we can't trust you, right?
[03:42:46.460 --> 03:42:47.460]  Val: Right, right.
[03:42:47.460 --> 03:42:48.460]  Val: So, you want me to hold back?
[03:42:48.460 --> 03:42:49.460]  Val: on like, Barrett.
[03:42:49.460 --> 03:42:52.460]  Val: If you ask me, tell me about Barrett.
[03:42:52.460 --> 03:42:53.460]  Val: So, that would be,
[03:42:53.460 --> 03:42:56.460]  Val: that would have to be what we have now.
[03:42:56.460 --> 03:42:58.460]  Val: So, we're not,
[03:42:58.460 --> 03:43:02.460]  Val: are we legally bound to tell you everything I know?
[03:43:02.460 --> 03:43:03.460]  Val: Not legally bound.
[03:43:03.460 --> 03:43:04.460]  Val: Here's the thing.
[03:43:04.460 --> 03:43:06.460]  Val: Can I make a mission based on what I think
[03:43:06.460 --> 03:43:08.460]  Val: is relevant and irrelevant?
[03:43:08.460 --> 03:43:09.460]  Val: Or no?
[03:43:09.460 --> 03:43:11.460]  Fed: It depends, right?
[03:43:11.460 --> 03:43:12.460]  Fed: I mean, like, here's the thing.
[03:43:12.460 --> 03:43:14.460]  Fed: You're not going to be your only source of information.
[03:43:14.460 --> 03:43:16.460]  Fed: That's not how to work either, right?
[03:43:16.460 --> 03:43:18.460]  Fed: I'm going to verify what you say.
[03:43:18.460 --> 03:43:19.460]  Fed: It's like I look at this stuff
[03:43:19.460 --> 03:43:20.460]  Fed: and I'll try to figure out it.
[03:43:20.460 --> 03:43:21.460]  Val: It's like a report.
[03:43:21.460 --> 03:43:22.460]  Val: Yeah, it's like a report, right?
[03:43:22.460 --> 03:43:24.460]  Fed: I mean, they're also investigators, so to speak.
[03:43:24.460 --> 03:43:26.460]  Fed: They publish their stuff.
[03:43:26.460 --> 03:43:29.460]  Fed: But, if you were to work with us, right?
[03:43:29.460 --> 03:43:32.460]  Fed: What I need from you most is trust.
[03:43:32.460 --> 03:43:34.460]  Fed: If I can't trust what you're saying,
[03:43:34.460 --> 03:43:36.460]  Fed: if I can't trust you with the information I give you,
[03:43:36.460 --> 03:43:38.460]  Fed: there's absolutely no reason we would work together.
[03:43:38.460 --> 03:43:39.460]  Fed: Right?
[03:43:39.460 --> 03:43:41.460]  Fed: Because if we were to involve you in something
[03:43:41.460 --> 03:43:43.460]  Fed: where you are involved with other criminals,
[03:43:43.460 --> 03:43:46.460]  Fed: you say, hey, by the way, I'm working with the FBI,
[03:43:46.460 --> 03:43:48.460]  Fed: that whole thing goes kaput
[03:43:48.460 --> 03:43:49.460]  Fed: Right?
[03:43:49.460 --> 03:43:50.460]  Fed: I mean, it doesn't help us.
[03:43:50.460 --> 03:43:53.460]  Fed: So that's why a lot of this stuff, too.
[03:43:53.460 --> 03:43:55.460]  Fed: If you're to give us information,
[03:43:55.460 --> 03:43:58.460]  Fed: it was partial information and it was omitted, right?
[03:43:58.460 --> 03:44:01.460]  Fed: There's a part in the court called discovery, right?
[03:44:01.460 --> 03:44:02.460]  Fed: I'm not sure how it works.
[03:44:02.460 --> 03:44:05.460]  Fed: So with Discovery, we have to provide everything to defend.
[03:44:05.460 --> 03:44:07.460]  Fed: That's how every U.S. government works, right?
[03:44:07.460 --> 03:44:10.460]  Fed: Everything that we have that we're using to prosecute this guy,
[03:44:10.460 --> 03:44:11.460]  Fed: the defense gets a copy of it.
[03:44:11.460 --> 03:44:13.460]  Fed: So they can cross-examine you on it, right?
[03:44:13.460 --> 03:44:14.460]  Val: Right.
[03:44:14.460 --> 03:44:16.460]  Val: So if anything illegal is happening and they... your case is screwed
[03:44:16.460 --> 03:44:20.460]  Fed: So in the case that if you gave us partial information,
[03:44:20.460 --> 03:44:22.460]  Fed: we'd provide that to the defense.
[03:44:22.460 --> 03:44:23.460]  Fed: The defense obviously knows the full story
[03:44:23.460 --> 03:44:25.460]  Fed: because they're the ones being charged.
[03:44:25.460 --> 03:44:27.460]  Fed: They say, actually, I said a bunch of stuff
[03:44:27.460 --> 03:44:28.460]  Fed: that is exculpatory.
[03:44:28.460 --> 03:44:30.460]  Fed: In other words, stuff that shows that I was innocent,
[03:44:30.460 --> 03:44:32.460]  Fed: but it was selectively filtered out.
[03:44:32.460 --> 03:44:34.460]  Fed: Our whole case would go to shit.
[03:44:34.460 --> 03:44:36.460]  Val: [???]
[03:44:36.460 --> 03:44:37.460]  Fed: Exactly, right.
[03:44:37.460 --> 03:44:40.460]  Fed: So just how it's not fair for Prasada to do that to you, right?
[03:44:40.460 --> 03:44:41.460]  Val: Right.
[03:44:41.460 --> 03:44:45.460]  Fed: So as the U.S. government, because we are the U.S. government,
[03:44:45.460 --> 03:44:48.460]  Fed: we play exactly by the rules, every time.
[03:44:48.460 --> 03:44:50.460]  Val: So is there a guy, a middle manager there, at some point,
[03:44:50.460 --> 03:44:54.460]  Val: that says, I decide what goes into this reporting
[03:44:54.460 --> 03:44:55.460]  Val: and what does not go into the report?
[03:44:55.460 --> 03:44:56.460]  Val: So it's not my decision.
[03:44:56.460 --> 03:44:59.460]  Val: I just give you all the data you ask for, right?
[03:44:59.460 --> 03:45:02.460]  Val: Without any omission, and someone else makes that decision.
[03:45:02.460 --> 03:45:03.460]  Fed: Okay.
[03:45:03.460 --> 03:45:06.460]  Fed: Yeah, it's usually the case agent who would be working with you
[03:45:06.460 --> 03:45:09.460]  Fed: who would say, okay, hey, I'm going to write this report.
[03:45:09.460 --> 03:45:12.460]  Fed: And we write it in a way that doesn't disclose everything, right?
[03:45:12.460 --> 03:45:14.460]  Fed: Because if I write your name in my report...
[03:45:14.460 --> 03:45:16.460]  Fed: It protects your identity, but it's still...
[03:45:16.460 --> 03:45:18.460]  Fed: It doesn't hide anything.
[03:45:18.460 --> 03:45:23.460]  Val: We'll often put you guys in position to make you look bad,
[03:45:23.460 --> 03:45:25.460]  Val: but, you know, try to get it.
[03:45:25.460 --> 03:45:26.460]  Val: Try to get it.
[03:45:26.460 --> 03:45:27.460]  Fed: So anyway...
[03:45:27.460 --> 03:45:29.460]  Val: Cover your ass and get it.
[03:45:29.460 --> 03:45:30.460]  Fed: Right.
[03:45:30.460 --> 03:45:32.460]  Fed: That's just the general way we work with people
[03:45:32.460 --> 03:45:34.460]  Fed: because we work with a lot of different people
[03:45:34.460 --> 03:45:35.460]  Fed: in a lot of different areas of life.
[03:45:35.460 --> 03:45:38.460]  Fed: Like, I work drugs and drug dealers on my account,
[03:45:38.460 --> 03:45:40.460]  Fed: and, you know, we work with them.
[03:45:40.460 --> 03:45:41.460]  Val: [???] drug dealers?
[03:45:41.460 --> 03:45:42.460]  Fed: Mm-hmm.
[03:45:42.460 --> 03:45:43.460]  Fed: Yeah.
[03:45:43.460 --> 03:45:44.460]  Fed: Because we've got to work our way into the chain.
[03:45:44.460 --> 03:45:45.460]  Fed: How else do you think...
[03:45:45.460 --> 03:45:46.460]  Fed: You can't just get the runners all day, right?
[03:45:46.460 --> 03:45:47.460]  Val: Right.
[03:45:47.460 --> 03:45:49.460]  Fed: You get in the tenants and you get the people at the top
[03:45:49.460 --> 03:45:50.460]  Fed: and try to...
[03:45:51.460 --> 03:45:52.460]  Val: I don't get it.
[03:45:53.460 --> 03:45:54.460]  Val: It's completely...
[03:45:54.460 --> 03:45:55.460]  Val: It's completely...
[03:45:55.460 --> 03:45:57.460]  Fed: Kind of like what we said downstairs.
[03:45:57.460 --> 03:45:59.460]  Fed: It 's hard, right?
[03:45:59.460 --> 03:46:01.460]  Fed: It's hard to do this job,
[03:46:01.460 --> 03:46:02.460]  Fed: but it should be hard.
[03:46:02.460 --> 03:46:03.460]  Val: Because of the rules?
[03:46:03.460 --> 03:46:04.460]  Fed: Yeah.
[03:46:04.460 --> 03:46:05.460]  Fed: I mean, the rules are hard.
[03:46:05.460 --> 03:46:08.460]  Fed: Because that thing would be easy for us to do.
[03:46:08.460 --> 03:46:10.460]  Fed: But we're with the new rules.
[03:46:10.460 --> 03:46:12.460]  Fed: That's why we're going to do it with the new rules.
[03:46:12.460 --> 03:46:14.460]  Fed: Because it's the right thing to do.
[03:46:14.460 --> 03:46:16.460]  Val: Is it like a chain of evidence or a thing?
[03:46:16.460 --> 03:46:17.460]  Val: Like, there's like a cartel.
[03:46:17.460 --> 03:46:19.460]  Val: You think, you know, there's a guy's IP address.
[03:46:19.460 --> 03:46:21.460]  Val: You know, there's email.
[03:46:21.460 --> 03:46:24.460]  Fed: So now that, like, drug dealers are using,
[03:46:24.460 --> 03:46:27.460]  Fed: like, the encrypted chat,
[03:46:27.460 --> 03:46:29.460]  Fed: it doesn't work to go to the telephone company
[03:46:29.460 --> 03:46:33.460]  Fed: and say, hey, we want to get a title-free on this cell phone
[03:46:33.460 --> 03:46:35.460]  Fed: so we can see all the types of things.
[03:46:35.460 --> 03:46:37.460]  Fed: That's all then in the water.
[03:46:37.460 --> 03:46:40.460]  Fed: And now in order to get their communication,
[03:46:40.460 --> 03:46:43.460]  Fed: like, you'd have to actually get a hold of the phone
[03:46:43.460 --> 03:46:44.460]  Fed: and put...
[03:46:44.460 --> 03:46:46.460]  Fed: And honestly, the way to do it is, like,
[03:46:46.460 --> 03:46:48.460]  Fed: you'd have to get someone inside the group.
[03:46:48.460 --> 03:46:50.460]  Val: Yeah, you clone the phone.
[03:46:50.460 --> 03:46:52.460]  Fed: Yeah, even then, like, you need someone to, like,
[03:46:52.460 --> 03:46:54.460]  20 or 70 men in that phone.
[03:46:54.460 --> 03:46:55.460]  Can it be an 8?
[03:46:55.460 --> 03:46:56.460]  Yeah, I got it.
[03:46:56.460 --> 03:46:58.460]  It still goes back to, like, that thing
[03:46:58.460 --> 03:47:00.460]  where you have to get someone inside.
[03:47:00.460 --> 03:47:02.460]  Fed: We can't just sit back and rely.
[03:47:02.460 --> 03:47:04.460]  Fed: Yeah, because it's not...
[03:47:04.460 --> 03:47:08.460]  Fed: It's because it's illegal to hack into the phone
[03:47:08.460 --> 03:47:12.460]  Fed: and to bring it back in Christian.
[03:47:12.460 --> 03:47:15.460]  Val: So even with a proper warrant, you cannot...
[03:47:15.460 --> 03:47:18.460]  Fed: Oh, yeah, exactly. With a proper warrant, you can't
[03:47:18.460 --> 03:47:21.460]  Fed: because the technology is against that now.
[03:47:21.460 --> 03:47:23.460]  Fed: ???
[03:47:23.460 --> 03:47:26.460]  Val: But if someone can still do it, it's still doable, right?
[03:47:26.460 --> 03:47:30.460]  Fed: Like, if someone was using some app that the data was still
[03:47:30.460 --> 03:47:32.460]  Fed: housed with the service provider,
[03:47:32.460 --> 03:47:34.460]  Fed: then, yeah, yeah, it would do it.
[03:47:34.460 --> 03:47:36.460]  Fed: Because it's legally within the bounds
[03:47:36.460 --> 03:47:39.460]  Fed: and that company legally has the content.
[03:47:39.460 --> 03:47:41.460]  Val: Is it too much for me to ask, like,
[03:47:41.460 --> 03:47:43.460]  Val: what is legally outside the bounds?
[03:47:43.460 --> 03:47:46.460]  Fed: [unintelligible]
[03:47:46.460 --> 03:47:49.460]  Val: And it's just an hacking situation.
[03:47:49.460 --> 03:47:52.460]  Val: Like, if you know a cartel guy and you have a warrant,
[03:47:52.460 --> 03:47:55.460]  Val: what can you legally not do?
[03:47:55.460 --> 03:47:58.460]  Val: Yeah, I think maybe it's easier.
[03:47:58.460 --> 03:48:00.460]  Val: I'm just curious.
[03:48:00.460 --> 03:48:04.460]  Fed: You can't break any law in order to get access to that guy.
[03:48:04.460 --> 03:48:06.460]  Val: Civil rights?
[03:48:06.460 --> 03:48:08.460]  Fed: No, we can't do the hacking.
[03:48:08.460 --> 03:48:09.460]  Val: You can't?
[03:48:09.460 --> 03:48:11.460]  Fed: Yeah, no, we can't.
[03:48:11.460 --> 03:48:13.460]  Fed: Yeah, [??] the hacking or anything.
[03:48:13.460 --> 03:48:15.460]  Fed: And giving a court order or a search warrant
[03:48:15.460 --> 03:48:18.460]  Fed: to an ISP or a telecom provider is not hacking.
[03:48:18.460 --> 03:48:21.460]  Fed: There's a law that says we can do that.
[03:48:21.460 --> 03:48:23.460]  Fed: The warrant is what permits us to get things
[03:48:23.460 --> 03:48:25.460]  Fed: that are under reasonable expectation of privacy,
[03:48:25.460 --> 03:48:27.460]  Fed: which is what you're hacking.
[03:48:27.460 --> 03:48:30.460]  Fed: You're hacking because it's not publicly available.
[03:48:30.460 --> 03:48:32.460]  Fed: So if you have to breach that expectation of privacy,
[03:48:32.460 --> 03:48:35.460]  Fed: we need a warrant as a government to get that.
[03:48:35.460 --> 03:48:37.460]  Fed: The warrant will specify what you can and can't do.
[03:48:37.460 --> 03:48:40.460]  Val: And you can breach the expectation of privacy.
[03:48:40.460 --> 03:48:43.460]  Fed: And if this is all to protect against, you know,
[03:48:43.460 --> 03:48:46.460]  Fed: all the crazy shit that goes on and abuses and things like that.
[03:48:46.460 --> 03:48:48.460]  Fed: So, like, I mean, as much as the government
[03:48:48.460 --> 03:48:50.460]  Fed: is kind of a fuck up shit show,
[03:48:50.460 --> 03:48:53.460]  Fed: I mean, it is put up in a way to protect people,
[03:48:53.460 --> 03:48:54.460]  Fed: protect American people.
[03:48:54.460 --> 03:48:56.460]  Fed: Their privacy, their liberty, things like that.
[03:48:56.460 --> 03:48:57.460]  Fed: So when people think like,
[03:48:57.460 --> 03:48:58.460]  Fed: like my mom does the same thing,
[03:48:58.460 --> 03:49:00.460]  Fed: she's like, well, are you reading my e-mail that [??]?
[03:49:00.460 --> 03:49:01.460]  Fed: I don't have time to read your e-mail.
[03:49:01.460 --> 03:49:02.460]  Fed: One.
[03:49:02.460 --> 03:49:04.460]  Fed: And two, like, why would I be reading your e-mail?
[03:49:04.460 --> 03:49:05.460]  Fed: That doesn't make any sense.
[03:49:05.460 --> 03:49:06.460]  Val: Trust me, I did it.
[03:49:06.460 --> 03:49:07.460]  Val: You don't want to read your mom's e-mail.
[03:49:07.460 --> 03:49:11.460]  Val: You don't want to do that.
[03:49:11.460 --> 03:49:13.460]  Fed: Can't go backwards.
[03:49:13.460 --> 03:49:14.460]  Val: You can't.
[03:49:16.460 --> 03:49:17.460]  Fed: Yeah, so there's...
[03:49:17.460 --> 03:49:18.460]  Val: I get it.
[03:49:18.460 --> 03:49:20.460]  Fed: Yeah, there's limitations that we work under, but...
[03:49:20.460 --> 03:49:21.460]  Val: I like that.
[03:49:21.460 --> 03:49:22.460]  Val: It's fine.
[03:49:22.460 --> 03:49:26.460]  Val: It's like, you know, everyone has to have a...
[03:49:26.460 --> 03:49:28.460]  Fed: Yeah, we play about the rules.
[03:49:28.460 --> 03:49:30.460]  Fed: But when we do win, right,
[03:49:30.460 --> 03:49:32.460]  Fed: when we do arrest someone or something like that,
