start	end	text
164000	169000	It's a reminder, I haven't solved the mystery as well.
169000	173000	I haven't figured out what happened.
173000	174000	Um...
174000	178000	Well, thank you for spending the day with me.
178000	185000	Thank you for flying out here to, to force it into me that this is definitely the day
185000	191000	my dad killed himself and wanted to be here and get this on camera for whatever you have
191000	192000	planned for this.
192000	194000	It's very, very kind of you.
194000	196000	I want to come out to see you.
196000	197000	How about January 26th, pal?
197000	199000	What do you think about that day?
199000	202000	I mean, it's kind of fun.
202000	204000	But it's not, but it's fun.
204000	205000	Yeah, I like your smirk.
205000	206000	Don't worry.
206000	207000	Don't forget about the camera, dude.
207000	208000	I'm just...
208000	209000	You and I here.
209000	210000	We're here, buddy.
210000	212000	Let's try and pretend that there's no camera.
212000	217000	Although it's impossible to do so at some level.
217000	219000	But if we don't like this, we can delete it.
219000	220000	Let me try again.
220000	221000	Yeah.
221000	222000	Yeah, for sure, man.
222000	223000	There's...
223000	224000	Let me go get the computer.
224000	225000	Okay.
226000	229000	Do you want any more coffee?
229000	230000	No.
230000	231000	Okay.
231000	232000	No?
232000	239000	Let me find out when you came last time.
239000	242000	I'm pretty sure it was in January.
242000	251000	It was in January.
251000	254000	Dude, I'm Rick 2017.
254000	255000	Enrich.
255000	256000	Enrich, sorry, 2018.
256000	258000	I call you by your German proper pronunciation.
258000	263000	I still say Mueller instead of Muller as well.
263000	268000	January 18th, you came out...
284000	299000	February 1st.
299000	311000	Okay.
311000	312000	Okay.
312000	316000	Yeah, you came out actually around after my birthday.
316000	322000	Between the 26th and the 14th.
322000	324000	I sent you this on the 25th.
324000	325000	The thugs.
325000	326000	Why am I...
326000	329000	Why is this doing this?
329000	330000	And yes.
330000	333000	And then I sent you my dad's note to me on the 25th of last year.
333000	335000	So that was after you came.
335000	336000	I don't think so.
336000	338000	Do you remember this?
338000	340000	For some reason, my...
340000	345000	Just doing this weird thing with the emails where they're stacking them up, cancel.
345000	349000	Yeah, on the 25th of January, I sent you my dad's note to me.
349000	351000	Yeah, but I think that was before I came out here.
351000	352000	Sure.
352000	353000	No, I'm not sure.
353000	354000	It doesn't really matter.
354000	355000	Okay.
355000	359000	Well, just for my sense of memory.
359000	364000	All right, should we get going there?
364000	365000	Sorry?
365000	366000	Yeah.
366000	372000	Okay, so picking up basically where we left off.
372000	375000	Which was, what was the last thing we did?
375000	376000	Yesterday.
376000	382000	So you were in Maine at Sydney's Place and you recorded music.
382000	383000	You recorded.
383000	385000	Yeah, Sydney's got this great place, like a lair.
385000	386000	It's not even an apartment.
386000	391000	It's like this beautiful penthouse with the stairs going up to the...
391000	393000	It's like an evil James Bond villain lair.
393000	394000	It's incredible.
394000	397000	And the great sound, great acoustics in there.
397000	402000	But yeah, and Sydney was a sort of sweetheart, but she really was very, very kind.
402000	405000	So she let me stay there and she wasn't there.
405000	410000	Okay, so at this point you've gotten into your mom's emails.
410000	411000	Yeah.
411000	415000	And you've started, like, piecing stuff together.
415000	416000	Yeah.
416000	423000	And it, so one of the things you find in there are all these email chains involving the
423000	424000	coroner's inquest.
424000	425000	Right.
425000	426000	And your dad's death.
426000	428000	And this is pretty important.
428000	433000	I'm not sure if you recognize how important it was at the time, but it's...
433000	434000	Yeah.
434000	436000	So we find a few things.
436000	448000	One is that we can see in there all of the, like, what the first doctor prescribed.
448000	450000	And we can also see...
450000	452000	Is it the way they're in?
452000	453000	I don't know.
453000	455000	There's sleeping pills or Xanax.
455000	456000	Right.
456000	457000	There's...
457000	461000	And he also refers him to the psychologist, Dr. Mitchell.
461000	471000	And so the coroner said, or the coroner asks both the, like, the physician and the psychologist
471000	474000	what lay about his state of mind.
474000	478000	And so we've got that he explained.
478000	481000	He was being investigated by the U.S. and the European courts.
481000	483000	He was extremely anxious.
483000	484000	We've got...
484000	485000	So that's from Moore.
485000	490000	But it's really Mitchell that is, in a lot of ways, more interesting.
490000	500000	So it recounts how, what he had talked about when he visited and mentioned his career,
500000	506000	his problems, his anxieties, his love for his two daughters.
506000	512000	And that, quote, he was suffering from high levels of anxiety related to investigations
512000	515000	into the LIBOR allegations by the U.S. and the U authorities.
515000	519000	He was catastrophizing, imagining worst case outcomes, including prosecution,
519000	521000	loss of his wealth, and reputation.
521000	522000	Allen Cloats.
522000	527000	So that, yeah, he still wants Allen Cloats at his party.
527000	530000	Oh, yeah, no, but he still wants Allen Cloats at his party.
530000	531000	Oh, despite LIBOR?
531000	532000	Despite LIBOR.
532000	535000	Yeah, okay, let's, yeah.
535000	539000	So he's catastrophizing, imagining worst case outcomes, including prosecution,
539000	542000	loss of his wealth, and reputation, he's sleeping badly.
542000	544000	And again, this is still quoted from the letter.
544000	546000	He's constantly preoccupied by those concerns.
546000	552000	His self-esteem and normal resilience have been greatly undermined as being named a person of interest
552000	554000	in the LIBOR case and in the EU investigation.
554000	555000	Okay.
555000	560000	And then as he leaves Mitchell, Dr. Mitchell gives him his cell phone and asks him to call
560000	564000	and office, then calls, bills, several times that fall, try to submit an appointment,
564000	566000	and he never calls back.
566000	567000	So, okay.
567000	568000	There's a couple ways to look at it.
568000	572000	If you look at it, face value, it can mean exactly that, right?
572000	575000	Now, if you know my father, he wasn't one for psychiatrists.
575000	576000	He didn't go see psychiatrists.
576000	577000	It wasn't his thing.
577000	579000	He didn't go to therapy.
579000	581000	He was not a therapy type person.
581000	582000	Yep.
582000	583000	Very rarely he would go.
583000	585000	And if he did, it was for a purpose.
585000	591000	And that would be, in my own humble opinion, is to get Xanax, to get drugs.
591000	593000	Because he probably has some anxiety.
593000	595000	This is a psychologist, not a psychiatrist.
595000	596000	Yes.
596000	599000	This isn't the one the physician prescribed the drugs.
599000	601000	This is not someone who would prescribe drugs.
601000	602000	This is not a prescriber.
602000	603000	This is a psychologist.
603000	605000	So Mitchell is not the prescriber.
605000	606000	Moore is the prescriber.
606000	607000	Yeah.
607000	611000	Mitchell is a psychologist, so not someone who would prescribe anything.
611000	612000	Okay.
612000	615000	Well, then maybe take it at face value.
615000	619000	I just don't understand why he would go and see this guy once or twice.
619000	620000	I mean, without.
620000	624000	But sometimes you need to see a psychiatrist to get to the prescriber.
624000	625000	Right.
625000	626000	But this isn't a psychiatrist.
626000	627000	So I'm sorry.
627000	629000	Sometimes you need to see a therapist to get to the physician.
629000	630000	No.
630000	632000	So Moore prescribes, Moore is the physician.
632000	633000	Sure.
633000	634000	And prescribes a bunch of stuff.
634000	635000	Okay.
635000	638000	And then refers him to a psychologist to kind of talk through his problems.
638000	639000	Okay.
639000	641000	And, which he does.
641000	642000	Once.
642000	643000	Yeah.
643000	644000	Once.
644000	645000	Once.
645000	646000	Yeah.
646000	647000	That's it.
647000	648000	Yeah.
648000	649000	So he goes to the doctor, gets the medications, the doctor says,
649000	651000	give you the medications on contingency that you go to the physician.
651000	654000	No, we have no reason to think it was a contingency.
654000	656000	I don't understand what the issue is here.
656000	657000	Are you, you feel like.
657000	662000	I don't see my dad going into a therapist once and laying all this upon this guy for.
662000	663000	You think he just made it up?
663000	665000	No, I don't think he made it up.
665000	669000	I think he uses a tool for something else, which I suspect was to get sanics, but you're
669000	670000	telling me this is not the prescriber.
670000	674000	So perhaps the doctor said on contingency of seeing the therapist, I will give you these
674000	675000	drugs.
675000	676000	If you talk to someone else.
676000	680000	Why is it so hard to believe that maybe he just wanted someone to talk to him?
680000	685000	Because he would have gone back or he would have continued this relationship.
685000	687000	I mean, he has, I could see him.
687000	691000	There's like, I don't, I don't negate that position that you're taking him.
691000	692000	Yes.
692000	697000	Of course, it's good to have someone to talk to and the rest of the families are all
697000	699000	psychiatrist anyway, but he never did.
699000	703000	But why go in for one day just to say this shit and then not come back?
703000	704000	I don't know.
704000	707000	If he found it there, maybe he just didn't find a therapy at all.
707000	711000	Maybe he tried and thought it was ridiculous or maybe he heard himself say this stuff out
711000	713000	loud and thought, oh my God, I am catastrophizing.
713000	714000	This is ridiculous.
714000	720000	Well, except that we know that a few months later he kills himself.
720000	726000	So it's not, I think we can probably stipulate that your dad was like really hurt inside.
726000	729000	And I mean, I don't take any original discount.
729000	730000	No, I don't.
730000	731000	Like he said, he's a psychologist.
731000	732000	I don't want to discount it.
732000	736000	I just don't think it's a smoking gun.
736000	737000	Um, okay.
737000	739000	Well, do you know what I mean?
739000	742000	Yeah, I definitely know what you mean.
742000	745000	I mean, I don't know about a smoking gun, but it's like.
745000	750000	If you've been treating this therapist for a year and this is the therapist, the summation
750000	754000	of his condition, then yes, okay, that could be more of a smoking gun.
754000	757000	But if he goes in one time and says this shit.
757000	758000	I don't know, man.
758000	759000	This isn't a diagnosis.
759000	763000	Come down with another guy for sanics at the same time and get some drugs.
763000	764000	I mean, who knows?
764000	768000	Yeah, but this isn't, he's not like diagnosing your dad and saying your dad was depressed
768000	770000	or your dad was, had an anxiety disorder.
770000	771000	He's saying that your dad.
771000	772000	Because he can't diagnose.
772000	773000	He's not.
773000	774000	Right, no.
774000	775000	He's not a psychiatrist.
775000	776000	He cannot.
776000	777000	So he can only write.
777000	778000	No, no, no.
778000	781000	I think this is his way of diagnosing without saying this is what I think.
781000	782000	Psychologists can make diagnoses.
782000	783000	They just can't prescribe drugs.
783000	786000	I also think this guy with psychology thinks he's like a therapist.
786000	787000	No, he's a psychologist.
787000	788000	He's a doctor.
788000	789000	He's with a doctor?
789000	790000	Yes.
790000	791000	Okay.
791000	794000	He has a PsyD, as they would call it in America, which is a doctorate in psychology.
794000	795000	Okay.
795000	796000	He's a doctor.
796000	797000	Okay.
797000	798000	He's, look, but he's not trying to do a diagnosis.
798000	799000	He only met the guy once.
799000	800000	That's why I'm insisting to this.
800000	807000	But he's explaining literally what your dad said to him.
807000	811000	No, but that's the disconnect, David, because we know that there was absolutely no reason
811000	820000	for him to be culpable any of these in Liber or in Forex trading or any of the scams that
820000	821000	Deutsche Bank was running.
821000	825660	We know that this was a paradox that he had, fear of being culpable, but knowing he was
825660	826660	not culpable.
826660	830000	That's by definition what the test refers to.
830000	831000	Okay.
831000	834000	I mean, and again, it's not.
834000	837000	No one else said this.
837000	839000	No, it's not true.
839000	840000	Who else said it?
840000	841000	The doctor said the physician.
841000	842000	No.
842000	844000	I mean, none of his friends.
844000	846000	We'll get there, because yes, they do.
846000	847000	They do?
847000	848000	Yeah.
848000	849000	Okay.
849000	856000	And look, we've already gone over this yesterday, but the Martin Loat had a very similar type.
856000	861000	I mean, it wasn't about this specifically, but it was, and that's even closer.
861000	862000	That's in December 2013.
862000	866000	It's just a month before your dad dies.
866000	871000	So we know that from a number of sources at this point, we know from the physician, we
871000	876000	know from the psychologist, we know from Martin Loat, and we know from the Paul Weiss lawyers
876000	883000	who visited, remember who visited in London and sensed that he was really upset and terrified
883000	885000	about this investigation.
885000	887000	So around the phone call in the airport.
887000	888000	Right, exactly.
888000	895000	So I mean, we have a pretty, that's four independent data sources that we now have that show that
895000	896000	one's leading up to his death.
896000	898000	I just don't know if that equates to suicide.
898000	902000	I mean, I, there's, my dad was 50.
902000	903000	58.
903000	904000	57, actually.
904000	905000	He turned 58.
905000	906000	Yeah.
906000	907000	He turned 58.
907000	908000	Yeah.
908000	909000	He turned 58.
909000	910000	Yeah.
910000	911000	So.
911000	912000	No, okay.
912000	913000	Sorry.
913000	917000	But my point is, he has been through this before.
917000	921000	He's been in these positions of stress.
921000	925000	This is what he chose for his life, his work to be in his stressful positions, because
925000	926000	he managed it very well.
926000	928000	He's a risk fucking manager.
928000	931000	He could just substitute the word stress for risk.
931000	932000	Right.
932000	934000	That's what he did.
934000	935000	So I mean, I don't see.
935000	937000	That is one of the things I find interesting.
937000	939000	Well, but we know he did commit suicide.
939000	944000	So it's, there's, but there's a possibility of false equivalency.
944000	945000	What do you mean?
945000	949000	He just says, you know, I don't equivocate, equivocate that to suicide.
949000	952000	He said, but we know he did commit suicide.
952000	953000	Right.
953000	954000	You're right.
954000	956000	That doesn't automatically mean that that's what caused it.
956000	958000	But there's, let's keep going.
958000	959000	I understand.
959000	960000	You know what I mean?
960000	961000	I do.
961000	962000	I've been resisting to this since 2014.
962000	963000	I know you have.
963000	969000	And that's really interesting to me because there's, I mean, look, just to be like personal
969000	971000	about this, like I come from a family.
971000	973000	My mom's a psychologist.
973000	976000	Like, you know, I've seen therapists over the years.
976000	984000	I, to me, that's not, there's no like stigma in my brain about people who need help because
984000	986000	they're going through a struggle.
986000	987000	They're struggling.
987000	988000	Like sometimes it's an illness.
988000	990000	Sometimes it's just like a tough time to go through.
990000	998000	There's overwhelming evidence here that your dad was going through a really tough time
998000	1004000	and that he was what he was like communicating to the people around him was that the, a lot,
1004000	1013000	maybe not all of the toughness, but a lot of it was because he was really anxious about
1013000	1015000	stuff that was going on at work.
1015000	1018000	And I mean, again, that's really clear.
1018000	1020000	I mean, yes, I don't disregard that.
1020000	1021000	I don't disregard that.
1021000	1022000	And I accept that.
1022000	1028000	Holy, but I just don't, I just, there's something that has to cross the line to suicide.
1028000	1029000	Clearly.
1029000	1030000	I don't see that yet.
1030000	1031000	Okay.
1031000	1033000	So, okay, well, let's keep going.
1033000	1037000	I mean, I think your theory is that it's just compounds and compounds and compounds and
1037000	1042000	at some point there's a line that crosses or something breaks and then the suicide.
1042000	1044000	And then you lead the path to suicide.
1044000	1046000	I just don't see the breaking point yet.
1046000	1048000	I haven't found it.
1048000	1052000	I mean, maybe it's the work stuff compounding with family stuff.
1052000	1056000	You know, maybe, because my mom, of course, is not the easiest person to deal with either.
1056000	1057000	I think you're thinking about this.
1057000	1058000	I don't look too literal away.
1058000	1061000	Or, you know, I'm not the easiest person to deal with.
1061000	1067000	You know, my sister, there could be a bunch of shit compounded, but I just don't see the
1067000	1068000	line.
1068000	1069000	I don't see where it broke.
1069000	1077000	And if you're bringing up in August of 2013, he's asking Scott Mitchell about estate planning.
1077000	1081000	I mean, you're alluding to the fact that he's already considering suicide at this point.
1081000	1082000	I don't know about that.
1082000	1084000	Why are you bringing it up?
1084000	1085000	I didn't bring it up.
1085000	1086000	You're dead.
1086000	1087000	You brought it up in the book.
1087000	1088000	Why else did you put it into the book?
1088000	1089000	Because it seems relevant.
1089000	1090000	It seems relevant.
1090000	1091000	It seems relevant.
1091000	1092000	Right.
1092000	1095000	Because you are alluding to the fact that he's considering ending his life by this point in
1095000	1096000	time.
1096000	1098000	He's thinking about his demise.
1098000	1099000	I don't think he's necessary.
1099000	1101000	I mean, I don't know what is going on.
1101000	1108000	I said, all I know, I unfortunately never met your dad.
1108000	1114000	And there's, so all I can do is look at the available evidence that people have talked
1114000	1118000	to and the documentary evidence that you've compiled and shared with me.
1118000	1119000	Anyway, so let's keep, I understand what you're saying.
1119000	1120000	That's fine.
1120000	1121000	We don't need to go into resolution numbers.
1121000	1122000	Okay.
1122000	1123000	So, okay.
1123000	1127000	To me actually, obviously it's very interesting that the glimpse of a right into your dad's
1127000	1128000	state of mind.
1128000	1132000	But what's more interesting to me, where I was kind of heading with this, is that it's
1132000	1135000	Deutsche Bank's efforts to cover up what actually happened.
1135000	1136000	Okay.
1136000	1139000	So the coroner schedules this inquest for March 25th.
1139000	1140000	Okay.
1140000	1145000	A few days beforehand, she informs the bank and its lawyers and the lawyers that the bank
1145000	1147000	has hired for your family.
1147000	1153000	And she says how she's going to conduct the hearing.
1153000	1157000	And among other things, she's going to read aloud portions of the doctor's letters to
1157000	1158000	both the physician and-
1158000	1159000	And you were there this year?
1159000	1161000	No, I wasn't at the coroner's.
1161000	1162000	Oh, Jenny was there?
1162000	1164000	No, I can't remember who was there.
1164000	1165000	But it doesn't matter.
1165000	1168000	This is all coming from documents that you've showed me.
1168000	1169000	Okay.
1169000	1174000	So we know that she is planning to read aloud portions of these letters about the include,
1174000	1176000	that are primarily about the anxiety of your dad's suffering.
1176000	1177000	Oh, right.
1177000	1178000	Relate to the government.
1178000	1185000	There was a controversy because he said the coroner revealed the history of depression
1185000	1186000	in the family.
1186000	1188000	Yeah, but that's, again, that's not really what I'm interested in.
1188000	1190000	What I'm interested in, I'll tell you.
1190000	1197000	So noon on March 24th, so this is the day before the hearing that's supposed to occur, someone
1197000	1202000	in the coroner's office, her name is Fiona Wilkner, someone in her office calls one of the lawyers
1202000	1207000	that the bank has hired, informs the lawyer that there will be no reference whatsoever
1207000	1208000	to Bill being under investigation.
1208000	1209000	That's a quote.
1209000	1210000	Say that one more time.
1210000	1214000	There will be, quote, no reference whatsoever to Bill being under investigation.
1214000	1215000	Okay.
1215000	1222000	So that night, March 24th, Wilcox, who's a coroner, she spends the evening looking at
1222000	1228000	the files, going over the inquest files, and she concludes that her obligation is to the
1228000	1233000	truth and not to the bank and not to the family, and that therefore she needs to tell the court
1233000	1236000	everything that's known about the circumstances of his death.
1236000	1239000	And that includes the fact that he was very scared about these investigations.
1239000	1244000	And so the next morning, she arrives at the Royal Court of Justice, meets with the lawyers
1244000	1249000	for your family and for Deutsche Bank, and tells them that she is in fact going to be
1249000	1251000	quoted from the doctor's letters extensively.
1251000	1252000	Okay.
1252000	1258000	So the lawyers, and seems like they went kind of bananas and they protest that we had just
1258000	1263000	been told the opposite the previous day, and quote, she reminded, so one of the lawyers
1263000	1264000	there sums this up.
1264000	1269000	She says she, being the coroner, reminded me that by law she was under a duty to investigate
1269000	1273000	all deaths, fearlessly and without favor.
1273000	1278000	Ultimately, though, it seems that the lawyers kind of wore her down because she agrees
1278000	1279000	to a compromise.
1279000	1283000	And the compromise is that she's going to read the doctor's letters aloud in court,
1283000	1289000	but she's going to read a censored or modified edited version.
1289000	1290000	Right.
1290000	1291000	And so what the lawyers do-
1291000	1292000	The redacted one, I see.
1292000	1293000	Yeah, well, it's like weird.
1293000	1295000	They take a pink highlighter and they cross stuff out.
1295000	1296000	And so-
1296000	1297000	I see in both versions.
1297000	1298000	They're unredacted.
1298000	1299000	Absolutely in both versions.
1299000	1304000	So let me just go through how this looks to someone who hasn't been immersed in this.
1304000	1308000	So he told the psychologists they had been named as a person of interest.
1309000	1310000	That's cut.
1310000	1311000	Okay.
1311000	1315000	Where Mitchell had written that Bill, quote, imagined being investigated, being prosecuted,
1315000	1319000	losing his wealth in his reputation, those words get crossed out and they're replaced
1319000	1322000	with, he imagined, various issues.
1322000	1324000	Okay.
1324000	1326000	Moore's letter, so Moore's the physician.
1326000	1331000	It's described that Bill had, quote, was worried about going to prison or going to bankrupt
1331000	1332000	even though he knew he was innocent.
1332000	1335000	He kept on thinking back over all the thousands of emails he sent over the years.
1335000	1339000	He knew how lawyers can twist things around and was worried that they would take extract from
1339000	1340000	emails.
1340000	1341000	So that's a quote from Moore's letter.
1341000	1345000	That's all deleted and replaced with the following sentences.
1345000	1346000	Oh, okay.
1346000	1348000	Quote, he told me that he'd been extremely anxious.
1348000	1350000	He explained he was retiring in September.
1350000	1355000	So in other words, these fairly clear explanations about what had been going on inside or what
1355000	1361000	your dad had told the doctor and the psychologist or crossed out and it basically replaced with
1361000	1364000	this very sterile language that just says he was anxious.
1364000	1367000	As if the bank, as if the bank got in there with that pink highlighter.
1367000	1368000	The bank do get in there with the highlighter.
1368000	1369000	Yeah.
1369000	1370000	Those were lawyers hired by the bank.
1370000	1371000	To do that.
1371000	1372000	Well, I don't know.
1372000	1373000	She caved, she caved.
1373000	1374000	Yeah, she caved.
1374000	1376000	And so the...
1376000	1377000	I didn't know that.
1377000	1380000	I didn't know that the bank commissioned that pink highlighter.
1380000	1381000	Yes.
1381000	1383000	I didn't know that.
1383000	1387000	I mean, the lawyers are ostensibly, some of them are ostensibly working on your family's
1387000	1389000	behalf and they're paid for it by the bank.
1389000	1390000	Christian suit, saving.
1390000	1391000	What was that?
1391000	1392000	Suit.
1392000	1393000	Seven.
1393000	1394000	What about him though?
1394000	1395000	Once he's suing.
1395000	1398000	Because he was the lead lawyer at that time.
1398000	1401000	Yeah, but well, was he at that time?
1401000	1402000	I'm not sure he was at that.
1402000	1403000	I don't think he had...
1403000	1404000	Remember the memo?
1404000	1405000	No, but that's a year later.
1405000	1406000	Okay.
1406000	1407000	And we're going to get there, don't worry.
1407000	1408000	Okay.
1408000	1414000	But so to me, put this in bucket one, which is that this is pretty clear evidence of...
1414000	1415000	Yes.
1415000	1416000	Yes.
1416000	1417000	I mean, it really is.
1417000	1422000	They're taking this very clear language from two doctors who say this is what you got.
1422000	1423000	Yeah, I got it.
1423000	1424000	You're right.
1424000	1425000	I didn't know that they did that.
1425000	1427000	I thought that was something that the...
1427000	1432000	I thought they wanted to stay neutral, the corner, and like they didn't want to...
1432000	1433000	They just wanted...
1433000	1436000	The point was he killed himself and they were just trying to say he's dead and this is our
1436000	1440000	report, nothing to do with the reasons why they didn't want to get into that.
1440000	1444000	If you go through these emails that went back and forth, they explained in great detail exactly
1444000	1445000	how this went down.
1445000	1446000	I didn't know that.
1446000	1447000	Okay.
1447000	1448000	Yeah, show me that.
1448000	1449000	You forgot.
1449000	1450000	No, no.
1450000	1451000	Between the bank and Wilcox.
1451000	1452000	No, no, no.
1452000	1453000	It's not.
1453000	1458000	It's the memos that go back and forth that you fished out of your mom's files.
1458000	1461000	Oh, I thought you had something between the bank and Wilcox.
1461000	1463000	The lawyers are hired by the bank.
1463000	1466000	I know about communications between Wilcox and the bank.
1466000	1471000	We have reports that you showed me that show the lawyer.
1471000	1472000	I know those reports.
1472000	1474000	I mean something additional to that.
1474000	1476000	No, that's from there, man.
1476000	1477000	Oh, I know.
1477000	1478000	Okay.
1479000	1480000	So next, let's move on.
1480000	1483000	So why was your dad so worried about the live one investigation?
1483000	1484000	It is an obvious question, right?
1484000	1490000	He said this to both doctors and the bank obviously seems like it does not want that coming out
1490000	1491000	in the court.
1491000	1492000	So why?
1492000	1494000	Why was he so scared?
1494000	1497000	So this brings us to Mark Stein.
1497000	1501000	So you found in your dad's files an email from Mark Stein.
1501000	1505000	He's the lawyer at Simpson Thatcher, which is a very high price corporate law firm.
1505000	1509000	And you can tell that your father is pretty worried.
1509000	1516000	He keeps asking or at least on one or two occasions asks Stein what's going on with DOJ.
1516000	1518000	Stein replies total silence.
1518000	1520000	He's a slippery fuck.
1520000	1524000	That guy called me a few times.
1524000	1526000	Yeah, tell him.
1526000	1527000	I told you, remember?
1527000	1528000	I did not.
1528000	1530000	I called him a few times and I asked to talk to him.
1530000	1531000	I said, hello.
1531000	1532000	Very sorry to hear about your dad.
1532000	1535000	There was absolutely nothing going on with him.
1535000	1538000	He wasn't under any investigations.
1538000	1541000	When we called him in, it was just sort of like a cattle call.
1541000	1546000	You know, sometimes these regulators, they're calling thousands of bankers at a time.
1546000	1547000	They're looking for stuff.
1547000	1549000	And that's all that this was about.
1549000	1554000	And I said to him, excuse me, but I have fucking emails between you two saying, please send me this file
1554000	1555000	because it's important.
1555000	1557000	And then he stopped communicating.
1557000	1559000	And then he never calls me back.
1559000	1560000	Wait, no.
1560000	1564000	And then I call him again and I say, well, can we talk about Faisola and Mikaela Faisola?
1564000	1566000	And he says, yes, I'd love to talk about this.
1566000	1568000	Let's set up a date and time.
1568000	1570000	Phone tag for three fucking months.
1570000	1571000	No response.
1571000	1572000	Emails.
1572000	1575000	Yeah, he clearly did not want to talk to you.
1575000	1580000	So I think you already know this, but the reason your dad was involved in this live or investigation
1580000	1582000	is not that he had done anything.
1582000	1585000	He hadn't participated in any fraud or manipulation.
1585000	1586000	Chief risk guy.
1586000	1588000	No, it's that he missed something.
1588000	1589000	Oh, really?
1589000	1590000	Yeah.
1590000	1595000	So back in 2009, Christian Bittar, who was a big live or trader.
1595000	1597000	I remember this from your book.
1597000	1598000	Yeah.
1598000	1600000	Well, I don't think this was actually in the book.
1600000	1603000	There's another Deutsche Bank guy, Gio Madoff.
1603000	1605000	Oh, no, I remember this from your search terms.
1605000	1606000	Yes.
1606000	1607000	Yes.
1607000	1608000	That's right.
1608000	1615000	So Bittar back in 2009 was due.
1615000	1616000	And Anshu Jain had agreed.
1616000	1617000	Wasn't he recently arrested?
1617000	1619000	He was recently sentenced to jail.
1619000	1620000	Sent to jail?
1620000	1621000	Yeah.
1621000	1624000	So he pleaded guilty to fraud.
1624000	1629000	So he, at the time, though, Anshu Jain had worked at a very lucrative contract for Christian Bittar.
1629000	1633000	This is, again, back 10 years ago.
1633000	1637000	He was the one from his desk when it was like 500 million?
1637000	1638000	Yeah.
1638000	1640000	They were making an absolute killing.
1640000	1648000	Anshu had agreed to a compensation arrangement where Bittar would basically take home a portion of his winnings.
1648000	1651000	And so he won a lot.
1651000	1654000	In part, Bittar's obviously was manipulating.
1654000	1655000	What's his percentage?
1655000	1659000	I don't know what the percentage was off the top of my head, but I do know what he was owed, roughly.
1659000	1664000	So he was due to get a bonus in the neighborhood of 50 or 60 or 70 million dollars.
1664000	1665000	Wow.
1665000	1666000	It's about 5%.
1666000	1667000	That was...
1667000	1669000	It was about 500 million, wasn't it?
1669000	1671000	Yeah, so that'd be 10%.
1671000	1674000	I think it probably was about 10%.
1674000	1675000	But I'm not certain about that.
1675000	1679000	In any case, that's a huge amount of money to just hand out to a trader.
1679000	1684000	And so there were a couple of reviews that were started internally into...
1684000	1688000	People were kind of dispatched to look at how he had made all that money.
1688000	1695000	So there's one review called a review by the Business Integrity Review Group, which was a loan employee at Deutsche
1695000	1697000	sent to go through Bittar's emails.
1697000	1700000	And Bittar's friend, or I think it was from Senegal.
1700000	1703000	So he's a native French speaker.
