[00:00.000 --> 00:02.000]  Val: Right now. Good.
[02:19.000 --> 02:20.000]  Val: Okay.
[02:20.000 --> 02:21.000]  Val: That's all.
[02:21.000 --> 02:22.000]  Val: That's all.
[02:23.000 --> 02:24.000]  Marie: Um...
[02:24.000 --> 02:26.000]  Val: Maybe you can meet me if you come downstairs now.
[02:29.000 --> 02:30.000]  Val: Why don't you go by the building?
[02:30.000 --> 02:31.000]  Val: Come here.
[02:31.000 --> 02:32.000]  Val: Come here.
[02:32.000 --> 02:33.000]  Val: No, no, in front of the building.
[02:34.000 --> 02:35.000]  Val: Just get in there.
[02:35.000 --> 02:36.000]  Val: Just...
[02:36.000 --> 02:38.000]  Val: Just get your best friend in the building, please.
[02:39.000 --> 02:41.000]  Val: Why are you both doing that with your top?
[02:42.000 --> 02:43.000]  Val: That would be that, no.
[02:43.000 --> 02:45.000]  Val: This is not France in 1992.
[02:46.000 --> 02:47.000]  Val: Both shoulders off.
[02:48.000 --> 02:49.000]  Val: That's better.
[02:49.000 --> 02:50.000]  Val: That's what I'm talking about.
[02:52.000 --> 02:53.000]  Val: What?
[02:55.000 --> 02:57.000]  Val: I'm telling you to come down and meet me.
[02:58.000 --> 03:00.000]  Val: See, he's supposed to come down and meet me.
[03:00.000 --> 03:02.000]  Val: You have to sneak me in, remember?
[03:24.000 --> 03:26.000]  Val: He's heading down now.
[03:26.000 --> 03:27.000]  Val: Okay.
[03:31.000 --> 03:33.000]  Val: So, I'll say Marie wants me...
[03:55.000 --> 03:56.000]  ???: Do you do well?
[03:56.000 --> 03:57.000]  ???: Do you need to do well?
[03:58.000 --> 03:59.000]  Val: Yes, I do.
[04:00.000 --> 04:02.000]  Val: I'm saying you just want to briefly meet him and say hi.
[04:02.000 --> 04:03.000]  Val: Sure.
[04:03.000 --> 04:04.000]  Marie: Okay.
[04:04.000 --> 04:05.000]  Marie: Sure.
[04:05.000 --> 04:06.000]  Val: I'll miss you beaucoup.
[04:07.000 --> 04:09.000]  ???: You want me to put some of this on this guy?
[04:10.000 --> 04:11.000]  ???: Yeah.
[04:20.000 --> 04:22.000]  Marie: He's covered in this.
[04:24.000 --> 04:25.000]  ???: Okay.
[04:30.000 --> 04:32.000]  Val: I'm going to tell him we're outside in the parking lot.
[04:34.000 --> 04:36.000]  Val: You said it's cool to meet him, you can meet him.
[04:36.000 --> 04:38.000]  Val: We're outside in the parking lot.
[04:41.000 --> 04:42.000]  Val: Drop off your air. [sic]
[04:43.000 --> 04:44.000]  Marie: Yeah, too.
[04:45.000 --> 04:46.000]  Val: Drop off your air.
[04:48.000 --> 04:50.000]  Val: Red Mini, you can't do this here.
[04:51.000 --> 04:52.000]  Val: Where is it?
[04:53.000 --> 04:54.000]  Marie: Here.
[04:54.000 --> 04:55.000]  Val: What's up?
[04:55.000 --> 04:56.000]  Val: Okay.
[04:56.000 --> 04:57.000]  Val: Where is that?
[04:57.000 --> 04:58.000]  Val: I'm worried.
[04:58.000 --> 04:59.000]  Val: Aw, thank you.
[04:59.000 --> 05:00.000]  Val: Perfect.
[05:00.000 --> 05:01.000]  Val: Oh, yes.
[05:01.000 --> 05:02.000]  Val: Good idea, baby.
[05:02.000 --> 05:03.000]  Marie: What?
[05:03.000 --> 05:04.000]  Val: That's a good one.
[05:04.000 --> 05:05.000]  Val: I like the pie.
[05:05.000 --> 05:06.000]  Val: Nice.
[05:06.000 --> 05:07.000]  Marie: Okay.
[05:07.000 --> 05:09.000]  Marie: You're not switching too much.
[05:09.000 --> 05:10.000]  Val: I am so hot.
[05:11.000 --> 05:13.000]  Val: There will be air con inside.
[05:16.000 --> 05:17.000]  Val: My story.
[05:18.000 --> 05:21.000]  Marie: It's a cool thing because it's like an internet joint.
[05:21.000 --> 05:22.000]  Val: Yeah?
[05:23.000 --> 05:24.000]  Marie: Look.
[05:24.000 --> 05:25.000]  Marie: Super elegant.
[05:25.000 --> 05:27.000]  Marie: You look super cool.
[05:27.000 --> 05:28.000]  Val: Super stylish.
[05:29.000 --> 05:30.000]  Val: Super fashionable.
[05:30.000 --> 05:31.000]  Val: I like it.
[05:32.000 --> 05:33.000]  Marie: I need you.
[05:33.000 --> 05:34.000]  Val: It's the best thing.
[05:34.000 --> 05:35.000]  Val: Not as bad as me.
[05:35.000 --> 05:37.000]  Val: Do you want one of these or do you have another one?
[05:39.000 --> 05:40.000]  Val: Yes, good.
[05:40.000 --> 05:41.000]  Val: Well done.
[05:41.000 --> 05:42.000]  Val: Perfect.
[05:42.000 --> 05:43.000]  Val: Good, good, good.
[05:43.000 --> 05:44.000]  Val: That's what I'm talking about.
[05:45.000 --> 05:46.000]  Val: Smart.
[05:46.000 --> 05:47.000]  Val: See you again.
[05:47.000 --> 05:48.000]  Marie: Thank you so much.
[05:48.000 --> 05:49.000]  Marie: Thank you.
[05:49.000 --> 05:50.000]  Val: I'll give myself a bit.
[05:50.000 --> 05:51.000]  Val: Pipe.
[05:51.000 --> 05:52.000]  Val: That's what you can't use.
[05:52.000 --> 05:54.000]  Marie: You have a band on your arm.
[05:54.000 --> 05:55.000]  Val: Is it your boyfriend?
[05:55.000 --> 05:56.000]  Val: Is it your husband?
[05:57.000 --> 05:58.000]  Val: Is it your boyfriend?
[05:58.000 --> 05:59.000]  Marie: No, no, no.
[05:59.000 --> 06:00.000]  Val: Is it your controlling boyfriend?
[06:02.000 --> 06:03.000]  Marie: They looked at me.
[06:03.000 --> 06:04.000]  Marie: They were like...
[06:04.000 --> 06:05.000]  Val: Who?
[06:05.000 --> 06:06.000]  Marie: Nothing.
[06:06.000 --> 06:07.000]  Val: What was the thing?
[06:07.000 --> 06:08.000]  Val: You have a band.
[06:08.000 --> 06:09.000]  Marie: I just...
[06:09.000 --> 06:10.000]  Marie: I did not know what it was to me.
[06:10.000 --> 06:11.000]  Val: Look, what did they...
[06:11.000 --> 06:12.000]  Val: Is it like...
[06:12.000 --> 06:13.000]  Marie: No, I was cooking and...
[06:13.000 --> 06:14.000]  Val: They mean anything about it?
[06:14.000 --> 06:15.000]  Marie: No, no.
[06:15.000 --> 06:17.000]  Marie: They just looked at me and looked at me and looked at me.
[06:17.000 --> 06:18.000]  Val: Okay.
[06:20.000 --> 06:21.000]  Val: Hello.
[06:22.000 --> 06:23.000]  Val: How's my hair?
[06:23.000 --> 06:24.000]  Marie: It's okay.
[06:24.000 --> 06:25.000]  Val: What's it?
[06:25.000 --> 06:26.000]  Val: It's okay.
[06:26.000 --> 06:27.000]  Val: Don't worry about it.
[06:27.000 --> 06:29.000]  Val: It just makes my hair look a little stupid.
[06:29.000 --> 06:30.000]  Val: It's okay.
[06:30.000 --> 06:31.000]  Val: It's weird.
[06:31.000 --> 06:32.000]  Val: It's okay?
[06:32.000 --> 06:33.000]  Marie: We need some sun.
[06:33.000 --> 06:34.000]  Val: I know.
[06:35.000 --> 06:36.000]  Val: We need some sunglasses.
[06:36.000 --> 06:38.000]  Marie: Oh my God, yeah.
[06:39.000 --> 06:40.000]  Val: Maybe we can do that today.
[06:40.000 --> 06:42.000]  Val: Oh, can you make appointments at the Apple Store for us?
[06:42.000 --> 06:43.000]  Val: Soon after your...
[06:43.000 --> 06:45.000]  Val: Your thing, we can go directly to the Apple Store.
[06:45.000 --> 06:47.000]  Val: You get a new pair of glasses.
[06:47.000 --> 06:49.000]  Val: We can go directly to the Apple Store.
[06:49.000 --> 06:50.000]  Val: You get a new phone.
[06:50.000 --> 06:52.000]  Marie: So we're not being hacked by everybody.
[06:52.000 --> 06:54.000]  Val: Yes, you do, because you're hacked by everybody.
[06:56.000 --> 06:57.000]  Val: Okay.
[06:57.000 --> 06:58.000]  Marie: No, but in your ear.
[06:58.000 --> 06:59.000]  Val: Oh, yeah?
[06:59.000 --> 07:00.000]  Val: Did you get them?
[07:00.000 --> 07:01.000]  Val: I don't...
[07:03.000 --> 07:04.000]  Marie: I'm sorry.
[07:04.000 --> 07:05.000]  Val: What are you doing?
[07:05.000 --> 07:06.000]  Marie: No, but they're in there.
[07:06.000 --> 07:07.000]  Val: Oh, okay.
[07:07.000 --> 07:08.000]  Marie: I know, it's annoying, but...
[07:08.000 --> 07:09.000]  Val: Not helpful.
[07:10.000 --> 07:11.000]  Val: It's really loud.
[07:13.000 --> 07:15.000]  Val: It's really, really super loud, baby.
[07:15.000 --> 07:16.000]  Val: I'm sorry.
[07:16.000 --> 07:18.000]  Val: You just can't blow my ears like that.
[07:19.000 --> 07:21.000]  Val: All right, so where are the plans today?
[07:23.000 --> 07:24.000]  Val: Today's plans.
[07:24.000 --> 07:25.000]  Val: Okay.
[07:25.000 --> 07:26.000]  Val: You're gonna do this.
[07:26.000 --> 07:27.000]  Val: See how long it goes.
[07:27.000 --> 07:28.000]  Val: You might pick me up.
[07:28.000 --> 07:29.000]  Val: You might not.
[07:29.000 --> 07:31.000]  Val: So I'll take Uber and then go to...
[07:32.000 --> 07:33.000]  Val: Oh, shit.
[07:34.000 --> 07:35.000]  Val: Oh, no.
[07:35.000 --> 07:36.000]  Val: I left it inside.
[07:37.000 --> 07:38.000]  Val: Yeah, I need my keys.
[07:41.000 --> 07:42.000]  Val: Oh, there's the Fanta.
[07:42.000 --> 07:43.000]  Val: The pineapple Fanta?
[07:43.000 --> 07:44.000]  Marie: Yeah.
[07:44.000 --> 07:45.000]  Val: Ah.
[07:45.000 --> 07:46.000]  Val: Wonderful.
[07:46.000 --> 07:47.000]  Val: Thank you.
[07:47.000 --> 07:48.000]  Val: Perfect.
[07:49.000 --> 07:50.000]  Val: Oh, no.
[07:55.000 --> 07:56.000]  Val: One, two, three.
[07:56.000 --> 07:57.000]  Val: I got it.
[07:58.000 --> 07:59.000]  Marie: Do you have to go?
[07:59.000 --> 08:00.000]  Val: Yeah, well, he's gonna come.
[08:00.000 --> 08:01.000]  Val: All right?
[08:01.000 --> 08:02.000]  Val: I told him Red Mini, you can't miss us.
[08:02.000 --> 08:03.000]  Marie: Good night.
[08:03.000 --> 08:04.000]  Val: Yeah, just leave it here.
[08:04.000 --> 08:05.000]  Val: Yeah.
[08:05.000 --> 08:06.000]  Val: Put on the hazards.
[08:06.000 --> 08:07.000]  Val: Put the hazards on.
[08:08.000 --> 08:09.000]  Val: Nice.
[08:09.000 --> 08:10.000]  Val: Lock it, yeah.
[08:11.000 --> 08:12.000]  Val: Mr. Reed.
[08:13.000 --> 08:14.000]  Val: Mr. Reed.
[08:15.000 --> 08:16.000]  Val: Mr. Reed.
[08:17.000 --> 08:18.000]  Val: Hello, Mr. Reed.
[08:18.000 --> 08:20.000]  Val: There are four lights.
[08:21.000 --> 08:22.000]  Marie: Do you have the lights on?
[08:22.000 --> 08:23.000]  Val: Yeah.
[08:24.000 --> 08:25.000]  Val: Yeah, running.
[08:26.000 --> 08:27.000]  Val: It's going right now.
[08:29.000 --> 08:30.000]  Val: What about this back?
[08:30.000 --> 08:31.000]  Val: See the back?
[08:31.000 --> 08:32.000]  Val: It sticks out?
[08:32.000 --> 08:33.000]  Marie: I don't have the key.
[08:33.000 --> 08:34.000]  Val: No.
[08:34.000 --> 08:35.000]  Marie: I don't have the key back.
[08:36.000 --> 08:37.000]  Marie: I don't have the key.
[08:37.000 --> 08:38.000]  Marie: I don't have the key.
[08:38.000 --> 08:39.000]  Val: Are you sure?
[08:39.000 --> 08:40.000]  Val: I know.
[08:40.000 --> 08:41.000]  Val: I know.
[08:41.000 --> 08:42.000]  Val: You can fix that.
[08:43.000 --> 08:44.000]  Val: You did great.
[08:44.000 --> 08:45.000]  Val: You did great.
[08:45.000 --> 08:46.000]  Val: Oh, here we are.
[08:47.000 --> 08:48.000]  Val: Hello.
[08:48.000 --> 08:49.000]  Val: Hey.
[08:49.000 --> 08:50.000]  Val: It's Daniel.
[08:50.000 --> 08:51.000]  Val: David.
[08:51.000 --> 08:52.000]  Val: David Koh.
[08:52.000 --> 08:53.000]  Val: Nice to meet you.
[08:53.000 --> 08:54.000]  Val: Cheers.
[08:54.000 --> 08:55.000]  Val: This is Marie. Hi.
[08:55.000 --> 08:56.000]  Val: I'm sorry?
[08:56.000 --> 08:57.000]  Val: I'm sorry.
[08:57.000 --> 08:58.000]  Oh, good play.
[08:58.000 --> 08:59.000]  All right, Bo.
[08:59.000 --> 09:00.000]  Nice to meet you.
[09:00.000 --> 09:01.000]  Yeah, good to be here.
[09:01.000 --> 09:02.000]  I'm sorry.
[09:02.000 --> 09:03.000]  I'm sorry.
[09:03.000 --> 09:04.000]  Val: Remember I spoke the other night?
[09:04.000 --> 09:05.000]  Fed: Yeah.
[09:05.000 --> 09:06.000]  Marie: It's all right?
[09:06.000 --> 09:07.000]  Fed: It's all right.
[09:07.000 --> 09:08.000]  Marie: It's all right.
[09:08.000 --> 09:11.000]  Val: She almost killed me like five times getting here.
[09:11.000 --> 09:14.000]  Val: She's French and a woman.
[09:14.000 --> 09:16.000]  Val: She's got two cliches against her.
[09:16.000 --> 09:17.000]  Val: French and a woman.
[09:17.000 --> 09:19.000]  Marie: Well, there's your first go.
[09:19.000 --> 09:20.000]  Marie: Enjoy.
[09:20.000 --> 09:21.000]  Marie: Enjoy.
[09:21.000 --> 09:22.000]  Marie: I got it.
[09:22.000 --> 09:23.000]  Marie: I got it.
[09:23.000 --> 09:24.000]  Val: Oh, careful.
[09:24.000 --> 09:26.000]  Val: Remember to shake on my back.
[09:26.000 --> 09:27.000]  Val: Thank you.
[09:27.000 --> 09:28.000]  Val: All right, guys.
[09:28.000 --> 09:29.000]  Val: Thanks.
[09:29.000 --> 09:30.000]  Val: How's it going?
[09:30.000 --> 09:31.000]  Val: Good, good.
[09:31.000 --> 09:32.000]  Val: Boeing.
[09:32.000 --> 09:33.000]  Val: Is that your name, is that it?
[09:33.000 --> 09:34.000]  Fed: Yeah.
[09:34.000 --> 09:35.000]  Val: Like the...
[09:35.000 --> 09:36.000]  Val: Oh, where's my mask?
[09:36.000 --> 09:37.000]  Val: Yeah.
[09:37.000 --> 09:38.000]  Val: The company, right?
[09:38.000 --> 09:39.000]  Fed: Yeah.
[09:39.000 --> 09:40.000]  Fed: Look at it.
[09:40.000 --> 09:41.000]  Val: Do your parents...
[09:41.000 --> 09:43.000]  Fed: Is that the one staff that comes down?
[09:43.000 --> 09:44.000]  Val: Oh, my God.
[09:44.000 --> 09:46.000]  Val: There was some, but not for LA.
[09:46.000 --> 09:47.000]  Fed: Okay.
[09:47.000 --> 09:48.000]  Val: Really weird.
[09:48.000 --> 09:49.000]  Val: So easy.
[09:49.000 --> 09:50.000]  Cool.
[09:50.000 --> 09:51.000]  Yeah.
[09:51.000 --> 09:52.000]  Fed: Yeah, it was part of our strategy.
[09:52.000 --> 09:53.000]  Fed: Lightened up a little bit.
[09:53.000 --> 09:54.000]  Val: Sorry I'm late, though.
[09:54.000 --> 09:55.000]  Fed: Oh, come on.
[09:55.000 --> 09:56.000]  Val: It's like LA.
[09:56.000 --> 09:57.000]  Val: You're from here.
[09:57.000 --> 09:58.000]  Val: It's...
[09:58.000 --> 09:59.000]  Val: You're not from here.
[09:59.000 --> 10:00.000]  Fed: No, no, no.
[10:00.000 --> 10:01.000]  Fed: Not me.
[10:01.000 --> 10:02.000]  Fed: Not from here.
[10:02.000 --> 10:03.000]  Fed: We're going to get you a visitor, guys.
[10:03.000 --> 10:04.000]  Fed: What?
[10:04.000 --> 10:05.000]  Fed: Is there a visitor?
[10:05.000 --> 10:06.000]  Fed: Come on in, sir.
[10:06.000 --> 10:07.000]  Val: I have a photo of it.
[10:07.000 --> 10:12.000]  Fed: I need a physical ID, unless you guys are okay with that.
[10:12.000 --> 10:16.000]  Val: This is actually my fault because I lost my drivers license a few days ago.
[10:16.000 --> 10:17.000]  Val: I don't know where it is.
[10:17.000 --> 10:18.000]  Val: It's in a book.
[10:18.000 --> 10:19.000]  Val: It's on my bookshelf.
[10:19.000 --> 10:20.000]  Fed: It's okay.
[10:20.000 --> 10:21.000]  Val: You guys are okay with that?
[10:21.000 --> 10:22.000]  Fed: Okay.
[10:22.000 --> 10:23.000]  Fed: Just go ahead and place all your items here in the bin for me.
[10:23.000 --> 10:24.000]  Val: Okay.
[10:24.000 --> 10:26.000]  Fed: Okay, now do you want to let you know you were entering the federal facility?
[10:26.000 --> 10:27.000]  Fed: Okay, we are conducting.
[10:27.000 --> 10:28.000]  Fed: Sir, one second.
[10:28.000 --> 10:29.000]  Fed: Okay, listen to me.
[10:29.000 --> 10:31.000]  Fed: I'm not done with this inspection, okay?
[10:31.000 --> 10:32.000]  Val: Okay.
[10:32.000 --> 10:33.000]  Fed: We are inspecting for weapons and explosives.
[10:33.000 --> 10:34.000]  Fed: You have nothing like that on you?
[10:34.000 --> 10:35.000]  Val: No, I don't.
[10:35.000 --> 10:40.000]  Fed: You can still carry any tools, knives, pepper spray, nothing like that?
[10:40.000 --> 10:41.000]  Val: Okay.
[10:41.000 --> 10:42.000]  Fed: Let's do your belt off.
[10:42.000 --> 10:43.000]  Val: Oh, great.
[10:43.000 --> 10:44.000]  Val: Okay.
[10:44.000 --> 10:45.000]  Fed: I'm going to have you take off your coat.
[10:45.000 --> 10:46.000]  Val: Sure.
[10:46.000 --> 10:47.000]  Val: Sure.
[10:47.000 --> 10:48.000]  Val: No problem.
[10:48.000 --> 10:53.000]  You guys, what are you doing?
[10:53.000 --> 10:56.000]  Fed: Do you have any electronics?
[10:56.000 --> 10:57.000]  Val: Okay.
[10:57.000 --> 10:58.000]  Val: No, they're all in here.
[10:58.000 --> 10:59.000]  Fed: Okay, put them separately, boss.
[10:59.000 --> 11:00.000]  Fed: Separately from your bag.
[11:00.000 --> 11:01.000]  Val: Okay.
[11:01.000 --> 11:02.000]  Fed: You can put them right here with your document.
[11:02.000 --> 11:03.000]  Fed: Put your document here.
[11:03.000 --> 11:04.000]  Fed: Put your document right there, okay?
[11:04.000 --> 11:05.000]  Val: Okay.
[11:05.000 --> 11:06.000]  Val: I'll leave them in the bag.
[11:06.000 --> 11:07.000]  Val: You want to take them out of there?
[11:07.000 --> 11:08.000]  Fed: Take them out of there.
[11:08.000 --> 11:09.000]  Val: Okay.
[11:09.000 --> 11:10.000]  Val: I brought some stuff.
[11:10.000 --> 11:11.000]  Val: He said don't bring anything.
[11:11.000 --> 11:12.000]  Val: I thought you marked it.
[11:12.000 --> 11:13.000]  Val: I thought you were just being polite.
[11:13.000 --> 11:14.000]  Val: I brought a little stuff for you.
[11:14.000 --> 11:15.000]  Fed: Okay.
[11:15.000 --> 11:16.000]  Fed: Okay.
[11:16.000 --> 11:17.000]  Fed: Okay.
[11:17.000 --> 11:18.000]  Fed: And nothing else on you?
[11:18.000 --> 11:19.000]  Val: Nope.
[11:19.000 --> 11:20.000]  Fed: Okay.
[11:20.000 --> 11:21.000]  Fed: Just go ahead and...
[11:21.000 --> 11:22.000]  Val: Oh, wait.
[11:22.000 --> 11:23.000]  Val: I don't mean anything.
[11:23.000 --> 11:24.000]  Fed: Yeah, everything out of your pocket.
[11:24.000 --> 11:25.000]  Fed: Okay?
[11:25.000 --> 11:26.000]  Val: Okay.
[11:26.000 --> 11:28.000]  Fed: So you have nothing with your name on it?
[11:28.000 --> 11:29.000]  Val: I do.
[11:29.000 --> 11:30.000]  Fed: Okay.
[11:30.000 --> 11:31.000]  Val: But I'll show it to you on my phone.
[11:31.000 --> 11:33.000]  Val: I'm going to have my wallet full of cards.
[11:33.000 --> 11:34.000]  Fed: Oh, okay.
[11:34.000 --> 11:36.000]  Fed: Just hang on to it for now, okay?
[11:36.000 --> 11:37.000]  Fed: That's fine.
[11:37.000 --> 11:38.000]  Fed: Stand right over there, okay?
[11:38.000 --> 11:39.000]  Fed: Give me one second.
[11:39.000 --> 11:46.000]  Fed: One second.
[11:46.000 --> 12:01.000]  Fed: I didn't know how to play dirty support.
[12:01.000 --> 12:02.000]  Fed: Okay.
[12:02.000 --> 12:03.000]  Fed: Go ahead and walk through, sir.
[12:03.000 --> 12:04.000]  Fed: Straight through, okay?
[12:04.000 --> 12:05.000]  Fed: Okay.
[12:05.000 --> 12:06.000]  Fed: There we go.
[12:06.000 --> 12:07.000]  Fed: Okay.
[12:07.000 --> 12:09.000]  Fed: You said you have a picture of your ID or something like that?
[12:09.000 --> 12:10.000]  Val: Yes, I do.
[12:10.000 --> 12:11.000]  Fed: Okay.
[12:11.000 --> 12:12.000]  Val: I'm going to give you...
[12:12.000 --> 12:13.000]  Fed: Just my receptionist is going to
[12:13.000 --> 12:14.000]  Fed: want to see that because they can make you a badge.
[12:14.000 --> 12:15.000]  Val: Of course, sir.
[12:15.000 --> 12:16.000]  Val: Here's my phone.
[12:16.000 --> 12:17.000]  Fed: Okay.
[12:17.000 --> 12:18.000]  Fed: Give it to the receptionist.
[12:18.000 --> 12:19.000]  Fed: Oh, wait.
[12:19.000 --> 12:20.000]  Fed: They're going to want my phone.
[12:20.000 --> 12:21.000]  Fed: Okay.
[12:21.000 --> 12:22.000]  Fed: Give it to the receptionist.
[12:22.000 --> 12:23.000]  Fed: Okay.
[12:23.000 --> 12:24.000]  Fed: Give it to the receptionist.
[12:24.000 --> 12:25.000]  Fed: Oh, wait.
[12:25.000 --> 12:26.000]  They're going to want my phone.
[12:26.000 --> 12:27.000]  Fed: Okay.
[12:27.000 --> 12:28.000]  Fed: Okay.
[12:33.000 --> 12:34.000]  Val: What are the rules for the mask?
[12:34.000 --> 12:35.000]  Fed: Keep it on.
[12:35.000 --> 12:36.000]  Val: All times?
[12:36.000 --> 12:37.000]  Fed: Sure.
[12:37.000 --> 12:38.000]  Val: Okay.
[12:38.000 --> 12:39.000]  Fed: Okay.
[12:39.000 --> 13:05.000]  Fed: Thank you for following me.
[13:05.000 --> 13:15.000]  Val: It's much, much, much easier than it was last time I was here.
[13:15.000 --> 13:16.000]  Val: Sorry?
[13:16.000 --> 13:17.000]  Fed: This is new.
[13:17.000 --> 13:18.000]  Val: It's new, huh?
[13:18.000 --> 13:19.000]  Fed: Yeah.
[13:19.000 --> 13:20.000]  Val: That's why.
[13:20.000 --> 13:23.000]  Fed: This used to be called [unintelligible]
[13:23.000 --> 13:24.000]  Val: Oh, yeah.
[13:24.000 --> 13:26.000]  Val: And there's a guy selling coffee over here, too.
[13:26.000 --> 13:27.000]  Val: Right?
[13:27.000 --> 13:28.000]  Fed: Yeah.
[13:28.000 --> 13:30.000]  Fed: If that doesn't, I'm not going to go.
[13:30.000 --> 13:31.000]  Fed: Anyway.
[13:31.000 --> 13:32.000]  Val: Yeah, okay.
[13:32.000 --> 13:34.000]  Val: Is there still coffee inside?
[13:34.000 --> 13:35.000]  Fed: No.
[13:35.000 --> 13:36.000]  Fed: Oh, do you need coffee?
[13:36.000 --> 13:37.000]  Val: I'm going to get some coffee.
[13:37.000 --> 13:38.000]  Val: Yeah.
[13:38.000 --> 13:41.000]  Val: I don't have to go through all this again, do I?
[13:41.000 --> 13:42.000]  Fed: No.
[13:42.000 --> 13:43.000]  Fed: Okay.
[13:43.000 --> 13:44.000]  Val: You guys want anything?
[13:44.000 --> 13:45.000]  Fed: Oh, I'm good.
[13:45.000 --> 13:46.000]  Val: Okay.
[13:46.000 --> 13:47.000]  Val: No?
[13:47.000 --> 13:48.000]  Val: Okay.
[13:48.000 --> 13:49.000]  Val: Um, coffee.
[13:49.000 --> 13:50.000]  Val: Yeah.
[13:50.000 --> 13:51.000]  Val: Sorry.
[13:51.000 --> 13:52.000]  Val: Just, you know.
[13:52.000 --> 13:53.000]  Fed: Do you need it on your bag?
[13:53.000 --> 13:54.000]  Fed: I like that.
[13:54.000 --> 13:55.000]  Val: Yeah.
[13:55.000 --> 13:56.000]  Val: It's a gift from Marie.
[13:56.000 --> 13:57.000]  Fed: Oh, cool.
[13:57.000 --> 13:58.000]  Val: Yeah.
[13:58.000 --> 13:59.000]  Val: She's a good friend.
[13:59.000 --> 14:00.000]  Yeah
