
[26:19.000 --> 26:20.000]  So I,
[28:05.000 --> 28:06.000]  and my dad,
[28:06.000 --> 28:07.000]  kind of financed my life,
[28:07.000 --> 28:08.000]  so I,
[28:08.000 --> 28:09.000]  I made music,
[28:09.000 --> 28:11.000]  I had 36 albums in a single,
[28:11.000 --> 28:12.000]  I had a lot of girlfriends,
[28:12.000 --> 28:13.000]  I fucked around,
[28:13.000 --> 28:14.000]  I went on tour,
[28:14.000 --> 28:15.000]  I had fun,
[28:15.000 --> 28:16.000]  you know,
[28:16.000 --> 28:17.000]  and that all,
[28:17.000 --> 28:18.000]  went to zero,
[28:18.000 --> 28:19.000]  and it all stopped,
[28:19.000 --> 28:20.000]  immediately,
[28:20.000 --> 28:21.000]  and January 26, 2014,
[28:21.000 --> 28:22.000]  and I learned,
[28:22.000 --> 28:23.000]  I learned a lot since then,
[28:23.000 --> 28:25.000]  a lot of things have changed for me,
[28:25.000 --> 28:27.000]  and I've never dated a girl
[28:27.000 --> 28:28.000]  with a kid,
[28:28.000 --> 28:29.000]  and I was like,
[28:29.000 --> 28:30.000]  you know what,
[28:30.000 --> 28:31.000]  I really love her,
[28:31.000 --> 28:32.000]  and I really like this kid,
[28:32.000 --> 28:33.000]  so why the fuck not?
[28:33.000 --> 28:34.000]  I mean,
[28:34.000 --> 28:35.000]  my father,
[28:35.000 --> 28:36.000]  my mom,
[28:36.000 --> 28:37.000]  when I was a kid,
[28:37.000 --> 28:38.000]  you know,
[28:39.000 --> 28:40.000]  and,
[28:40.000 --> 28:41.000]  he's a good kid,
[28:41.000 --> 28:42.000]  and it's not that,
[28:42.000 --> 28:43.000]  I mean,
[28:43.000 --> 28:44.000]  it's hard to raise a kid,
[28:44.000 --> 28:45.000]  believe me,
[28:45.000 --> 28:46.000]  but it wasn't as hard as I thought it was,
[28:46.000 --> 28:47.000]  you know,
[28:47.000 --> 28:48.000]  especially when he's a good kid,
[28:48.000 --> 28:49.000]  you know,
[28:49.000 --> 28:50.000]  he's really happy,
[28:50.000 --> 28:51.000]  but, you know,
[28:51.000 --> 28:52.000]  and like,
[28:52.000 --> 28:53.000]  most of that's really from me.
[28:53.000 --> 28:54.000]  They say it's a much stronger love.
[28:54.000 --> 28:55.000]  That you'll ever love,
[28:55.000 --> 28:56.000]  yeah,
[28:56.000 --> 28:57.000]  it's true,
[28:57.000 --> 28:58.000]  it's true,
[28:58.000 --> 28:59.000]  but I also have like,
[28:59.000 --> 29:00.000]  I'm also not,
[29:00.000 --> 29:01.000]  I mean,
[29:01.000 --> 29:02.000]  I'm like the boyfriend,
[29:02.000 --> 29:03.000]  so I mean,
[29:03.000 --> 29:04.000]  I'm the father figure,
[29:04.000 --> 29:05.000]  as well,
[29:05.000 --> 29:06.000]  but I guess I don't have the burden
[29:06.000 --> 29:07.000]  that Marie has,
[29:07.000 --> 29:08.000]  and that's,
[29:08.000 --> 29:09.000]  like I could see hers,
[29:09.000 --> 29:10.000]  she is really upset
[29:10.000 --> 29:11.000]  over little things all the time.
[29:11.000 --> 29:12.000]  I'm like,
[29:12.000 --> 29:13.000]  why are you getting so upset?
[29:13.000 --> 29:14.000]  She'll fuck you.
[29:15.000 --> 29:16.000]  Anyway,
[29:16.000 --> 29:17.000]  we,
[29:17.000 --> 29:18.000]  we,
[29:18.000 --> 29:20.000]  everything was sort of going fine.
[29:20.000 --> 29:21.000]  I got a bit depressed
[29:21.000 --> 29:23.000]  when Peggy died,
[29:23.000 --> 29:24.000]  a very close friend of mine
[29:24.000 --> 29:25.000]  died January 1st.
[29:27.000 --> 29:28.000]  And now,
[29:28.000 --> 29:29.000]  Is it?
[29:29.000 --> 29:30.000]  No,
[29:30.000 --> 29:31.000]  it's 2019,
[29:31.000 --> 29:32.000]  you know,
[29:33.000 --> 29:34.000]  but,
[29:34.000 --> 29:35.000]  that's another story.
[29:35.000 --> 29:36.000]  It's a good story,
[29:36.000 --> 29:37.000]  but a long story.
[29:37.000 --> 29:38.000]  Neil Young,
[29:38.000 --> 29:39.000]  his wife,
[29:39.000 --> 29:40.000]  Peggy,
[29:40.000 --> 29:41.000]  Neil Young is a real dick,
[29:41.000 --> 29:43.000]  a real fucking asshole.
[29:46.000 --> 29:48.000]  When I was at the funeral,
[29:48.000 --> 29:49.000]  he stood up there on stage,
[29:49.000 --> 29:50.000]  it looked like he had won,
[29:50.000 --> 29:51.000]  like Peggy had died,
[29:51.000 --> 29:52.000]  and he got his girl,
[29:52.000 --> 29:53.000]  his daughter back,
[29:53.000 --> 29:54.000]  who was,
[29:54.000 --> 29:55.000]  he was,
[29:55.000 --> 29:56.000]  this,
[29:56.000 --> 29:57.000]  this strange from,
[29:57.000 --> 29:58.000]  and all the money that Peggy took in divorce,
[29:58.000 --> 29:59.000]  and he said,
[29:59.000 --> 30:00.000]  there's like,
[30:00.000 --> 30:01.000]  I won,
[30:01.000 --> 30:02.000]  I got it all back.
[30:02.000 --> 30:03.000]  I had to leave early,
[30:03.000 --> 30:04.000]  I don't know,
[30:04.000 --> 30:05.000]  about what I said.
[30:08.000 --> 30:09.000]  The point of that story is
[30:09.000 --> 30:10.000]  because you need to know
[30:10.000 --> 30:11.000]  that Steve,
[30:11.000 --> 30:12.000]  so Steve Tolst,
[30:12.000 --> 30:13.000]  okay,
[30:13.000 --> 30:14.000]  he's an Australian,
[30:14.000 --> 30:15.000]  and he is a writer.
[30:16.000 --> 30:17.000]  He won like a second prize
[30:17.000 --> 30:18.000]  in a beauty contest,
[30:18.000 --> 30:19.000]  you know,
[30:19.000 --> 30:20.000]  like a runner-up
[30:20.000 --> 30:21.000]  for the Booker Prize,
[30:21.000 --> 30:22.000]  but not even
[30:22.000 --> 30:23.000]  when the Booker Prize,
[30:23.000 --> 30:24.000]  and he only did it
[30:24.000 --> 30:25.000]  because his father
[30:25.000 --> 30:26.000]  is a very well-placed guy
[30:26.000 --> 30:27.000]  in Sydney,
[30:28.000 --> 30:29.000]  and a very wealthy family
[30:29.000 --> 30:30.000]  of lawyers,
[30:31.000 --> 30:32.000]  and they did
[30:32.000 --> 30:33.000]  whatever they could.
[30:33.000 --> 30:34.000]  So,
[30:34.000 --> 30:35.000]  he's sort of like,
[30:35.000 --> 30:36.000]  and I don't say
[30:36.000 --> 30:37.000]  it's just a little bit
[30:37.000 --> 30:38.000]  of the angry boyfriend,
[30:38.000 --> 30:39.000]  he's kind of,
[30:39.000 --> 30:40.000]  he's running the capacity,
[30:40.000 --> 30:41.000]  he's running sort of like,
[30:41.000 --> 30:43.000]  he's not the brightest guy around,
[30:43.000 --> 30:44.000]  but he can fool you
[30:44.000 --> 30:46.000]  into believing he is,
[30:46.000 --> 30:47.000]  you know,
[30:47.000 --> 30:48.000]  and I think he did that
[30:48.000 --> 30:49.000]  to Marie for a long time,
[30:49.000 --> 30:50.000]  and when she sort of caught on
[30:50.000 --> 30:51.000]  what was really happening,
[30:51.000 --> 30:52.000]  she left.
[30:53.000 --> 30:54.000]  But,
[30:54.000 --> 30:55.000]  when I met her,
[30:55.000 --> 30:56.000]  he was still emailing her
[30:56.000 --> 30:57.000]  20, 30 times a day,
[30:57.000 --> 30:58.000]  texting her,
[30:58.000 --> 30:59.000]  sorry,
[30:59.000 --> 31:00.000]  the equivalent,
[31:00.000 --> 31:01.000]  and she thought she
[31:01.000 --> 31:02.000]  had to respond,
[31:02.000 --> 31:03.000]  and I remember
[31:03.000 --> 31:04.000]  being in a car in like,
[31:04.000 --> 31:05.000]  2018,
[31:05.000 --> 31:06.000]  I'm like,
[31:06.000 --> 31:07.000]  why are you responding to this?
[31:07.000 --> 31:08.000]  Why are you doing this?
[31:08.000 --> 31:09.000]  Like, every time you have
[31:09.000 --> 31:10.000]  an issue where you have to
[31:10.000 --> 31:11.000]  say, oh, you're going to be fine,
[31:11.000 --> 31:12.000]  she's like,
[31:12.000 --> 31:13.000]  I don't know,
[31:13.000 --> 31:14.000]  I just feel guilty if I don't.
[31:14.000 --> 31:15.000]  I'm like,
[31:15.000 --> 31:16.000]  well, okay,
[31:16.000 --> 31:17.000]  we don't have to,
[31:17.000 --> 31:18.000]  and then she was
[31:18.000 --> 31:19.000]  like, you're right,
[31:19.000 --> 31:20.000]  I don't,
[31:20.000 --> 31:21.000]  and then she stopped,
[31:21.000 --> 31:22.000]  and that's when it all started.
[31:22.000 --> 31:23.000]  So,
[31:23.000 --> 31:24.000]  he's a kind of guy,
[31:24.000 --> 31:25.000]  I was telling Kim,
[31:25.000 --> 31:26.000]  would rather burn
[31:26.000 --> 31:27.000]  the world down
[31:27.000 --> 31:28.000]  than to
[31:28.000 --> 31:29.000]  allow her to leave him.
[31:29.000 --> 31:30.000]  Okay,
[31:30.000 --> 31:31.000]  and I never met these
[31:31.000 --> 31:32.000]  attached people before.
[31:32.000 --> 31:33.000]  This is new to me,
[31:33.000 --> 31:34.000]  right?
[31:34.000 --> 31:35.000]  Like,
[31:35.000 --> 31:36.000]  first of all,
[31:36.000 --> 31:37.000]  I'm dating a girl with a kid,
[31:37.000 --> 31:38.000]  and now there's a boyfriend,
[31:38.000 --> 31:39.000]  like,
[31:39.000 --> 31:40.000]  the kind you see in
[31:40.000 --> 31:41.000]  freaking television shows,
[31:41.000 --> 31:42.000]  you know,
[31:42.000 --> 31:43.000]  it exists.
[31:43.000 --> 31:44.000]  I didn't know.
[31:44.000 --> 31:45.000]  I didn't know.
[31:45.000 --> 31:46.000]  I thought she was like,
[31:46.000 --> 31:47.000]  I thought Marie was over exaggerating.
[31:47.000 --> 31:48.000]  I'm like,
[31:48.000 --> 31:49.000]  come on,
[31:49.000 --> 31:50.000]  can't it be that offensive?
[31:50.000 --> 31:51.000]  She shows me the best.
[31:51.000 --> 31:52.000]  I'm like,
[31:52.000 --> 31:53.000]  wow,
[31:53.000 --> 31:54.000]  you know,
[31:54.000 --> 31:55.000]  you have to really be crazy.
[31:55.000 --> 31:56.000]  So again,
[31:56.000 --> 31:57.000]  the reason,
[31:57.000 --> 31:58.000]  what you don't know,
[31:58.000 --> 32:00.000]  is that when they first met,
[32:00.000 --> 32:01.000]  it was sort of normal.
[32:01.000 --> 32:03.000]  She was waiting for him to leave,
[32:03.000 --> 32:04.000]  but he stayed
[32:04.000 --> 32:05.000]  and moved into her house.
[32:05.000 --> 32:06.000]  Then he got sick,
[32:06.000 --> 32:08.000]  and aneurysm in his back.
[32:08.000 --> 32:10.000]  It did something to the spinal nerve,
[32:10.000 --> 32:11.000]  and L4,
[32:11.000 --> 32:12.000]  I don't know,
[32:12.000 --> 32:13.000]  I'm not out of position,
[32:13.000 --> 32:14.000]  so I don't know exactly,
[32:14.000 --> 32:16.000]  but it severed the nerve,
[32:16.000 --> 32:17.000]  pinched the nerve.
[32:17.000 --> 32:19.000]  It was something where it paralyzed.
[32:19.000 --> 32:20.000]  Neck down,
[32:20.000 --> 32:22.000]  fully paralyzed.
[32:22.000 --> 32:23.000]  She,
[32:23.000 --> 32:25.000]  Marie is such the type where,
[32:25.000 --> 32:27.000]  she actually wrote a letter to
[32:27.000 --> 32:29.000]  Sarkozy saying,
[32:29.000 --> 32:30.000]  I need your help,
[32:30.000 --> 32:31.000]  is that Australian,
[32:31.000 --> 32:33.000]  and he even paid for his medical bills.
[32:33.000 --> 32:34.000]  And Sarkozy fucking responded,
[32:34.000 --> 32:35.000]  and said,
[32:35.000 --> 32:36.000]  okay.
[32:36.000 --> 32:37.000]  Yeah,
[32:37.000 --> 32:38.000]  that's Marie.
[32:38.000 --> 32:40.000]  So Sarkozy actually paid for his bills?
[32:40.000 --> 32:41.000]  Sarkozy paid for his bills.
[32:41.000 --> 32:42.000]  Probably started to write
[32:42.000 --> 32:43.000]  Sarkozy for health and planning.
[32:43.000 --> 32:44.000]  Right?
[32:44.000 --> 32:45.000]  Yeah,
[32:45.000 --> 32:46.000]  what am I doing here
[32:46.000 --> 32:47.000]  when I talk to Sarkozy?
[32:47.000 --> 32:48.000]  No.
[32:48.000 --> 32:49.000]  But
[32:49.000 --> 32:50.000]  what's really weird
[32:50.000 --> 32:51.000]  is that Steve's father
[32:51.000 --> 32:52.000]  could have paid for it,
[32:52.000 --> 32:53.000]  but they didn't,
[32:53.000 --> 32:54.000]  because they were that type of people.
[32:54.000 --> 32:56.000]  They can get it for free,
[32:56.000 --> 32:58.000]  then they'll take it, right?
[32:58.000 --> 33:01.000]  It doesn't matter that they're taking someone else's
[33:01.000 --> 33:02.000]  scholarship,
[33:02.000 --> 33:03.000]  someone else's
[33:03.000 --> 33:04.000]  fund for their thing,
[33:04.000 --> 33:06.000]  they don't care.
[33:06.000 --> 33:08.000]  So Marie nursed him back to health
[33:08.000 --> 33:09.000]  after a couple years,
[33:09.000 --> 33:10.000]  and he could walk with him.
[33:10.000 --> 33:11.000]  Miracle,
[33:11.000 --> 33:12.000]  it was a 4% chance of walking,
[33:12.000 --> 33:13.000]  you walk.
[33:13.000 --> 33:14.000]  Oh no,
[33:14.000 --> 33:15.000]  sorry,
[33:15.000 --> 33:16.000]  not 4% chance.
[33:16.000 --> 33:17.000]  That was,
[33:17.000 --> 33:18.000]  that was having Marlowe's 4% chance.
[33:18.000 --> 33:19.000]  It was like a very low
[33:19.000 --> 33:20.000]  percent chance of walking,
[33:20.000 --> 33:21.000]  but he was up and walking.
[33:21.000 --> 33:22.000]  But
[33:22.000 --> 33:24.000]  he would forever have to wear a catheter.
[33:24.000 --> 33:26.000]  I think it costs me back,
[33:26.000 --> 33:27.000]  I'm not sure how long that lasted,
[33:27.000 --> 33:28.000]  but of course,
[33:28.000 --> 33:29.000]  the guy,
[33:29.000 --> 33:30.000]  no hard on,
[33:30.000 --> 33:31.000]  cannot get it up,
[33:31.000 --> 33:32.000]  no sex.
[33:32.000 --> 33:33.000]  So Marie
[33:33.000 --> 33:34.000]  just was in her,
[33:34.000 --> 33:35.000]  she's very loyal,
[33:35.000 --> 33:36.000]  and she was 22,
[33:36.000 --> 33:37.000]  and she met him,
[33:37.000 --> 33:38.000]  very young and naive.
[33:38.000 --> 33:39.000]  So,
[33:39.000 --> 33:40.000]  what am I doing?
[33:40.000 --> 33:41.000]  I guess,
[33:41.000 --> 33:42.000]  can't,
[33:42.000 --> 33:43.000]  you know,
[33:43.000 --> 33:44.000]  I have to stick with this guy.
[33:44.000 --> 33:45.000]  You know,
[33:45.000 --> 33:46.000]  she did last as long as she could,
[33:46.000 --> 33:47.000]  and his mind
[33:47.000 --> 33:49.000]  and body deteriorated further and further,
[33:49.000 --> 33:50.000]  and then she just left.
[33:50.000 --> 33:51.000]  She couldn't take it much,
[33:51.000 --> 33:52.000]  she left.
[33:52.000 --> 33:53.000]  Now,
[33:53.000 --> 33:54.000]  between us,
[33:54.000 --> 33:55.000]  they separated in,
[33:55.000 --> 33:56.000]  I think 2013,
[33:56.000 --> 33:57.000]  but for the lawyers,
[33:57.000 --> 33:58.000]  it's 2018.
[33:58.000 --> 34:00.000]  Just so you know,
[34:00.000 --> 34:01.000]  because she's,
[34:01.000 --> 34:02.000]  you know,
[34:02.000 --> 34:03.000]  for the,
[34:03.000 --> 34:04.000]  you know,
[34:04.000 --> 34:05.000]  I don't know any about divorce either,
[34:05.000 --> 34:06.000]  but the lawyer said,
[34:06.000 --> 34:07.000]  let's just say 2018.
[34:07.000 --> 34:08.000]  Okay,
[34:08.000 --> 34:09.000]  so I don't know.
[34:09.000 --> 34:10.000]  So,
[34:10.000 --> 34:11.000]  when,
[34:11.000 --> 34:13.000]  I met him for the first time,
[34:13.000 --> 34:14.000]  he seemed,
[34:14.000 --> 34:15.000]  I mean,
[34:15.000 --> 34:16.000]  I was like,
[34:16.000 --> 34:17.000]  oh, hello,
[34:17.000 --> 34:18.000]  my name's Val,
[34:18.000 --> 34:19.000]  I'm the guy that's fucking your wife.
[34:19.000 --> 34:20.000]  He's like,
[34:20.000 --> 34:21.000]  ah, ha, ha,
[34:21.000 --> 34:22.000]  very funny.
[34:22.000 --> 34:23.000]  It was a joke,
[34:23.000 --> 34:24.000]  and he laughed,
[34:24.000 --> 34:25.000]  and he took it well.
[34:25.000 --> 34:26.000]  He did?
[34:26.000 --> 34:27.000]  Yeah.
[34:27.000 --> 34:28.000]  He took a chance.
[34:28.000 --> 34:29.000]  I did,
[34:29.000 --> 34:30.000]  I did.
[34:30.000 --> 34:31.000]  Everyone else laughs,
[34:31.000 --> 34:32.000]  you know,
[34:32.000 --> 34:33.000]  but,
[34:33.000 --> 34:35.000]  he became more obsessive.
[34:35.000 --> 34:37.000]  The text increased
[34:37.000 --> 34:38.000]  tremendously.
[34:38.000 --> 34:39.000]  I mean,
[34:39.000 --> 34:41.000]  we're talking like 50 to 60,
[34:41.000 --> 34:42.000]  answering me,
[34:42.000 --> 34:43.000]  what are you doing?
[34:43.000 --> 34:44.000]  I don't understand.
[34:44.000 --> 34:45.000]  And they were like,
[34:45.000 --> 34:46.000]  really negative.
[34:46.000 --> 34:47.000]  It's all designed to make her hurt,
[34:47.000 --> 34:48.000]  feel like shit,
[34:48.000 --> 34:49.000]  feel guilty,
[34:49.000 --> 34:50.000]  you know,
[34:50.000 --> 34:51.000]  or feel sorry for him.
[34:51.000 --> 34:52.000]  Every single one is designed for that.
[34:52.000 --> 34:53.000]  I printed them all out,
[34:53.000 --> 34:54.000]  gave them to the lawyer.
[34:54.000 --> 34:55.000]  It's,
[34:55.000 --> 34:56.000]  just to read them,
[34:56.000 --> 34:57.000]  it's like weird.
[34:57.000 --> 34:58.000]  You guys,
[34:58.000 --> 34:59.000]  it's a fun read,
[34:59.000 --> 35:00.000]  if you ever want to,
[35:00.000 --> 35:01.000]  if you're bored.
[35:01.000 --> 35:02.000]  I'll send it to you if you want.
[35:02.000 --> 35:03.000]  But it's disturbing,
[35:03.000 --> 35:04.000]  too,
[35:04.000 --> 35:05.000]  because it's a sign of obsession,
[35:05.000 --> 35:07.000]  and that's never going to end well,
[35:07.000 --> 35:08.000]  you know.
[35:08.000 --> 35:09.000]  So,
[35:09.000 --> 35:11.000]  fast forward to a bunch of stuff,
[35:11.000 --> 35:13.000]  on April 10th,
[35:13.000 --> 35:14.000]  or,
[35:14.000 --> 35:15.000]  sorry,
[35:15.000 --> 35:16.000]  before April 10th,
[35:16.000 --> 35:17.000]  COVID hit,
[35:17.000 --> 35:18.000]  and Marla had to be
[35:18.000 --> 35:19.000]  taught home,
[35:19.000 --> 35:20.000]  homeschooled now,
[35:20.000 --> 35:21.000]  so he had the logins
[35:21.000 --> 35:22.000]  to the computer,
[35:22.000 --> 35:23.000]  you know,
[35:23.000 --> 35:24.000]  such a nightmare at first.
[35:24.000 --> 35:26.000]  It was such a nightmare.
[35:26.000 --> 35:28.000]  Oh, man, yeah.
[35:28.000 --> 35:30.000]  Trying to get him to do homework,
[35:30.000 --> 35:31.000]  and he's lying,
[35:31.000 --> 35:32.000]  now he's lying all the time.
[35:32.000 --> 35:33.000]  And this kid,
[35:33.000 --> 35:34.000]  he never lied.
[35:34.000 --> 35:35.000]  He like,
[35:35.000 --> 35:36.000]  was so honest and happy,
[35:36.000 --> 35:37.000]  he couldn't put him anywhere,
[35:37.000 --> 35:39.000]  and he would start talking to everybody,
[35:39.000 --> 35:40.000]  and everyone would be
[35:40.000 --> 35:41.000]  in trance by his conversation.
[35:41.000 --> 35:43.000]  He is a smart kid,
[35:43.000 --> 35:44.000]  he's so smart.
[35:44.000 --> 35:45.000]  But now,
[35:45.000 --> 35:46.000]  he's lying.
[35:46.000 --> 35:47.000]  I mean,
[35:47.000 --> 35:48.000]  why is he lying?
[35:48.000 --> 35:49.000]  Is he trying to hide something?
[35:49.000 --> 35:50.000]  He's depressed,
[35:50.000 --> 35:51.000]  he's something's wrong,
[35:51.000 --> 35:52.000]  he doesn't either,
[35:52.000 --> 35:53.000]  but Marie always blames Steve,
[35:53.000 --> 35:54.000]  no matter what,
[35:54.000 --> 35:55.000]  it's always Steve.
[35:55.000 --> 35:56.000]  And I kind of learned
[35:56.000 --> 35:57.000]  that she's,
[35:57.000 --> 35:58.000]  you know,
[35:58.000 --> 35:59.000]  almost always right too,
[35:59.000 --> 36:00.000]  you know,
[36:00.000 --> 36:01.000]  because he comes,
[36:01.000 --> 36:03.000]  it's a 50-50 custody at this point.
[36:03.000 --> 36:04.000]  Sorry,
[36:04.000 --> 36:05.000]  for a year,
[36:05.000 --> 36:06.000]  it was 50-50 custody.
[36:06.000 --> 36:07.000]  Before that,
[36:07.000 --> 36:08.000]  it was 80-20,
[36:08.000 --> 36:09.000]  Marie, okay?
[36:09.000 --> 36:10.000]  But for the last year,
[36:10.000 --> 36:12.000]  they tried 50-50.
[36:12.000 --> 36:13.000]  Steve says,
[36:13.000 --> 36:14.000]  and I have a lot of records,
[36:14.000 --> 36:15.000]  saying I cannot take care
[36:15.000 --> 36:16.000]  of Marla for more than a week
[36:16.000 --> 36:17.000]  at a time.
[36:17.000 --> 36:18.000]  All he does
[36:18.000 --> 36:19.000]  is he sits in the little office,
[36:19.000 --> 36:21.000]  and he writes the books.
[36:21.000 --> 36:23.000]  He works for screenwriting
[36:23.000 --> 36:27.000]  for some comedy TV show,
[36:27.000 --> 36:29.000]  it's not very funny.
[36:29.000 --> 36:31.000]  Two police officers
[36:31.000 --> 36:32.000]  are detectives in a car
[36:32.000 --> 36:33.000]  the whole time.
[36:33.000 --> 36:34.000]  Security?
[36:34.000 --> 36:35.000]  Something security?
[36:35.000 --> 36:36.000]  I don't know.
[36:36.000 --> 36:37.000]  It's not that good.
[36:37.000 --> 36:39.000]  It's not that good.
[36:39.000 --> 36:41.000]  So that's why he's in the country.
[36:41.000 --> 36:42.000]  Not Tim and Jamie.
[36:42.000 --> 36:43.000]  I needed,
[36:43.000 --> 36:44.000]  Marie wanted to divorce him,
[36:44.000 --> 36:45.000]  she's been wanting him
[36:45.000 --> 36:46.000]  for so long,
[36:46.000 --> 36:47.000]  but she can't,
[36:47.000 --> 36:48.000]  because,
[36:49.000 --> 36:52.000]  but because of the visa
[36:52.000 --> 36:53.000]  that she was on,
[36:53.000 --> 36:54.000]  she was tied to it,
[36:54.000 --> 36:56.000]  she could not work in America,
[36:56.000 --> 36:57.000]  and she was trying to do,
[36:57.000 --> 36:58.000]  you know,
[36:58.000 --> 36:59.000]  she would still
[36:59.000 --> 37:00.000]  do some cash jobs,
[37:00.000 --> 37:02.000]  or she'd teach French,
[37:02.000 --> 37:03.000]  or art,
[37:03.000 --> 37:05.000]  to the mothers,
[37:05.000 --> 37:06.000]  to go to a school called Lila,
[37:06.000 --> 37:08.000]  it's a French,
[37:08.000 --> 37:10.000]  for French people.
[37:10.000 --> 37:11.000]  And there's something
[37:11.000 --> 37:12.000]  we were going on about that
[37:12.000 --> 37:13.000]  school too,
[37:13.000 --> 37:15.000]  you guys should be aware of.
[37:15.000 --> 37:16.000]  Very,
[37:16.000 --> 37:17.000]  something's off.
[37:18.000 --> 37:19.000]  But,
[37:21.000 --> 37:22.000]  what was I saying?
[37:22.000 --> 37:23.000]  Sorry,
[37:23.000 --> 37:24.000]  you know that Lila,
[37:24.000 --> 37:25.000]  French school,
[37:25.000 --> 37:27.000]  and it brought up,
[37:27.000 --> 37:28.000]  80, 20, 50, 50.
[37:28.000 --> 37:29.000]  Yeah, the custody,
[37:29.000 --> 37:30.000]  that's right.
