[00:00.000]  Ko: So, she had a very, yeah, very small recital.
[02:29.760]  Ko: Of course, yeah. Yeah. So anyway, so you know, I talk to my girlfriend and then they say, okay, well, we need to subpoena her. And then you have to be on the witness ban too to answer questions, to validate some things. And that's not good, that's not good for anyone. Because your identity is out there and anyway, so.
[02:51.000]  Marie: I know, you can, oh, okay, no, no, you can trust in me, I won't ask questions and whatever he tells me, he tells me, I won't torture him for that.
[03:01.000]  Ko: Of course, of course.
[03:02.360]  Marie: Okay.
[03:03.200]  Ko: And you have my number too, it's like, what I was telling Val is that if you independently, like say Val is out or something like that, and you know, you think he says, oh hey, I'm gonna go work with David, you can call me at the, hey, you know, is he okay, is he all right, and I'll tell you, of course, like yeah, he's fine, he's safe.
[03:20.800]  Ko: And then if we decide to work together, right now, I have to find something for him to do, but it's nothing that I would directly be working with him on, so.
[03:31.360]  Marie: Okay.
[03:32.200]  Ko: Anyway, we'll be on the witness stand.
[03:34.200]  Marie: He's a very talented man, he's got many talents.
[03:38.880]  Ko: Yes, I agree, I hear he's got a lot of talent and lots of skills.
[03:42.400]  Marie: Yes, he's got a set, a wide range of skills.
[03:48.400]  Ko: Yeah, I know he's got a lot of talent.
[03:50.480]  Marie: As you do too, I'm sure.
[03:53.760]  Ko: No, not me, I've got a very limited number of skills and unfortunately, I need help, I need help from everyone to do the things we do, so I appreciate Val's help going in to help us out, so hopefully we can find him something to work on.
[04:08.720]  Ko: Right now, I'm gonna have to go back and ask some people and see what they say and see if anyone has any interest. And I told Val, and like I'm telling you, I can't promise that we'll have anything for him to work on, but he has my number too, so maybe something else comes up and says, hey, I've got some good information on this or that, okay, and then we try to find a good home for it, but up until then, it's kind of up in the air unfortunately, so we'll see how things go.
[04:35.680]  Marie: Okay, and you're happy with your trip and your research and what you wanted to achieve?
[04:43.480]  Ko: Yeah, yeah, I mean, my job today was just to see what Val's skills were, like you said, he's a very talented person, he has a lot of good friends, a lot of good access, so those are the things that my job is just to go and see, and then I go up and write a report and I tell everyone, okay, well maybe he can help on that or maybe he can help on that, but like I said, I don't have anything personally that I would work with him on because that's not my thing, so anyway, that's my main job, it's just to test and see how things go and then they work out great, and if not, you know, we still keep the line open and you can always call him saying he's got more access or he's got something else and we're good to go, but yeah, and we need to talk about Marlowe.
[05:29.400]  Ko: I'm sure Val will tell you all the details about it, and it is an unfortunate situation he got like deep in the 70s because I understand if someone was trying to take a child, it is the worst thing that you can imagine,
[05:42.280]  Marie: it's also so bizarre, I mean, it's the, here and see, the, you know, I mean, there's certain situation that you can like, well, you know, that brings that, that will bring that consequence, but that's not the case, you know, I mean, there's certain terrain, you know, you can put in terrain that the certain kind of seeds that bring certain kind of plants, and that's just not the case here, there's no reason for that, and so, it's very baffling, you know.
[06:21.880]  Ko: And so, yeah, I know, I know. And I think, I mean, the best thing I can say is, I know it sounds, you know, of course you wanna relax, but take deep breaths when things get stressful and things will work out, we'll help you guys as best we can.
[06:37.160]  Marie: Right.
[06:38.280]  Ko: What I told Val is, I know you guys fired your last attorney because something was weird with that guy, but hopefully, you're able to find a good attorney, I'm gonna do some work to see if I can help and find a good attorney, I'll just give you, you know, I'll just give you a recommendation,
[06:54.320]  Marie: but yeah, of course.
[06:58.320]  Ko: And then, but once you get a good attorney, I think you guys will be in a better spot, so, anyway.
[07:04.000]  Val: Hey, hey guys, sorry, hey, the other half of the cannoli.
[07:07.280]  Marie: He came in the room just now.
[07:08.400]  Val: I'm eating your cannoli. I was gonna save you a cannoli, David, but I'm gonna eat it now.
[07:13.440]  Marie: Well, I think he might miss the flight.
[07:14.760]  Val: Oh, really? He might miss the flight? Oh, dude, come over. You should really miss the flight. You might have half a cannoli.
[07:21.360]  Ko: Oh, trust me. I would love to come over because eating your deliciously, you know, home cooked food is better than my carton meal, which is nothing.
[07:30.080]  Val: She's good, dude. She's so good.
[07:32.040]  Ko: So, I would say I would love to eat with you guys. I absolutely would rather eat than jump on a flight and go hungry the whole night, but at the same time, I think my daughter hopefully will appreciate this one day. That's the-
[07:45.960]  Marie: How many kids, you have, David.
[07:48.280]  Ko: Just the one so far.
[07:49.280]  Marie: Oh, okay, okay. Oh, cool. Yeah, well, see how you go? If the plane is not there, you can't do anything about it.
[07:57.400]  Val: Yeah, just come over. You can crash upstairs to have an extra bedroom.
[08:01.840]  Marie: You have many skills, but you can't-
[08:06.000]  Val: Tell me, you can crash upstairs too.
[08:08.440]  Ko: That's of course not.
[08:09.280]  Val: You can crash upstairs.
[08:10.120]  Marie: Yes, and we have space. This is a big place.
[08:12.560]  Val: Yeah, you can crash upstairs. There's lots of space.
[08:14.400]  Marie: Yeah, yeah.
[08:15.240]  Ko: You're- Hey, if something comes up, I will give you guys a call and they'll take it over over and then we'll have a meal. But right now, hopefully, I'll be able to get there and be able to be get there, but I'm gonna be cutting it close.
[08:25.840]  Marie: Okay, see how you go? Let us know. Either way, this house is yours, and voilà.
[08:33.360]  Ko: That would be cool.
[08:34.360]  Val: Okay. Thank you. Thanks, David.
[08:37.360]  Marie: Let us know. Bon courage. Merci.
[08:40.360]  Ko: Okay. I'll talk to you guys later. Hopefully, you guys have a good night, okay?
[08:45.360]  Marie: Okay. Thank you. Goodnight. Bye.
[08:49.360]  Ko: Bye.
[08:50.360]  Marie: Thank you. Bye.
[08:52.360]  Val: He's a really nice guy.
[08:54.360]  Marie: He's like, you know, I just want to tell you if Val does something, he won't be able to tell you. So, you can't ask him.
[09:03.360]  Val: That's great.
[09:05.360]  Marie: Because he's like, because we don't want you to be compromised.
[09:09.360]  Val: Yeah, but what's going to happen to me? She's going to think about fucking some people. Like, you know, let me talk to her.
[09:17.360]  Marie: That's part of the job. And look, we know Val, this is not what you want, but he will be part of it. Just don't tell her.
[09:24.360]  Val: The Casanova spy?
[09:26.360]  Marie: Yes. That's the title. The Casanova spy.
[end]
